horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
23:27:05.880934348,0.25,1854648,77089466,6529282,715246,76900445,28734543,390774,2.984,13097036,3512033,99.72
23:27:07.989402521,0.25,105072,5390412,12206531,1634723,25895439,11117439,93628,1.825,5129441,1352348,99.72
23:27:10.145980232,0.25,91958,5160872,11384592,1560198,30888432,12727679,117605,1.978,5946178,1548986,99.83
23:27:12.367442637,0.25,138105,6251982,5435672,565344,32304406,13187914,117220,1.972,5945175,1624662,99.72
23:27:14.443573723,0.25,316064,9805965,5796065,591804,26690555,11256824,97671,1.888,5173057,1378895,99.78
23:27:16.587537671,0.25,491778,13434884,5707912,648480,28267830,11726809,105548,1.986,5314374,1433786,99.72
23:27:18.654401286,0.25,363474,11312791,5026485,517056,32275981,12935736,134188,2.272,5905427,1581329,99.77
23:27:20.799490335,0.25,109112,5558350,6247415,686220,29175938,12014897,121824,2.227,5470918,1474824,99.82
23:27:22.994767976,0.25,112217,5544022,5504919,600510,30800258,12412994,119350,2.094,5699603,1528515,99.72
23:27:25.123276555,0.25,88772,5061922,5564963,632134,25670849,10930902,92175,1.818,5070778,1338677,99.72
23:27:27.327365524,0.25,179674,8842488,9381951,1282805,28623177,12167742,115631,2.052,5634874,1494577,99.72
23:27:29.389803631,0.25,122779,5844249,6305439,689394,27617381,11642278,97593,1.827,5340657,1423663,99.71
23:27:32.264731708,0.25,96678,5137275,5196858,555618,24839858,10956139,93140,1.840,5062952,1339874,99.72
23:27:34.379717516,0.25,113525,5444758,8805088,1193360,27569378,11906736,103028,1.912,5388051,1469057,99.73
23:27:36.468605176,0.25,127044,5833812,13900105,1770692,26383731,11423393,99818,1.925,5185422,1397954,99.72
23:27:38.610713764,0.25,102837,5236860,9751988,1275033,25424754,11592108,100957,1.925,5243435,1417971,99.73
23:27:40.751011316,0.25,271829,8069998,5505791,604954,675787329,168513606,3501570,4.271,81975768,17598486,99.71
23:27:42.951174515,0.25,405016,12060760,14394314,1513098,47125202,16749872,197054,2.529,7791725,2047032,nosymbolsfoundin/bin/sleep,maybeinstalladebugpackage?
99.77
23:27:45.079875488,0.25,235228,8337414,8485263,1225851,55831484,18279902,250850,2.911,8618297,2210040,99.72
23:27:47.132637583,0.25,414621,12227936,7664825,1055976,41746050,14924251,179454,2.587,6935792,1816250,99.72
23:27:49.217144631,0.25,98732,5489789,6030277,642221,26738753,11312595,98302,1.901,5170159,1383907,99.73
23:27:51.259443686,0.25,93659,5208194,5041994,492653,24796157,10791156,87060,1.764,4936742,1327275,99.71
23:27:53.380684734,0.25,119410,5830766,4930041,463994,23613587,10986181,85548,1.719,4975674,1344539,99.72
