horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
01:37:44.548051605,0.25,3299870,127257247,92907837,8751334,800734970,279382246,3658758,3.118,117336882,36119056,99.72
01:37:46.769775857,0.25,99283,5174903,10678197,1437765,29160731,11926460,110243,2.014,5473817,1465737,99.72
01:37:48.866893762,0.25,95626,5115337,5323463,556311,27721810,11623834,98685,1.847,5341706,1424837,99.72
01:37:51.172920590,0.25,121746,5716794,5446761,581848,27279979,11846104,101626,1.912,5315414,1449339,99.72
01:37:53.259667123,0.25,114360,5373815,5064911,537480,31645889,13763977,144029,2.334,6171425,1680568,99.73
01:37:55.438724592,0.25,112653,5415284,5268650,539444,31458907,12429084,126889,2.243,5655964,1516184,99.90
01:37:57.509599513,0.25,115266,5382989,5256019,547356,29950740,11988753,124864,2.266,5509738,1454372,99.72
01:37:59.636163930,0.25,102094,5244292,28192472,5447686,745617595,179398055,3460565,3.915,88388556,19486803,99.72
01:38:01.938188219,0.25,107435,5495699,5286480,567436,67312015,22422217,356115,3.430,10383860,2700069,99.73
01:38:04.043604896,0.25,121485,5570223,5190962,539827,24899965,10968401,87156,1.747,4988465,1350889,99.72
01:38:06.285320639,0.25,109786,5470051,10805863,1417417,26018354,11067880,93014,1.835,5069591,1357330,99.77
01:38:08.406786844,0.25,106069,5356270,8965340,1205816,43158875,19547878,222553,2.509,8869582,2453723,99.72
01:38:10.608974336,0.25,3059665,75862425,10034111,1627031,23992746,10621930,80151,1.649,4860423,1303652,99.79
01:38:12.813954839,0.25,224446,8758195,6436359,791346,83140430,24389397,406260,3.429,11846834,2932867,99.72
01:38:14.904271775,0.25,381487,10834922,6954908,881911,76501798,25615641,435845,3.634,11993633,3071057,99.72
01:38:16.935767244,0.25,212271,9369475,5852075,618728,28516919,11677745,107064,2.006,5337325,1439207,99.72
01:38:19.093034732,0.25,122348,6088419,5034775,497002,27096934,11445154,102466,1.959,5230883,1394867,99.78
01:38:21.399055462,0.25,94031,5231925,6452491,759053,26367156,11678842,112564,2.127,5291850,1416810,99.73
01:38:23.524386496,0.25,100973,5211545,5153473,535509,30604516,12783643,118859,2.056,5781743,1560952,99.72
01:38:25.632844983,0.25,275887,8585069,5175467,544452,25100442,10760734,89488,1.797,4978770,1312448,99.76
01:38:27.780207139,0.25,97309,5090456,5263288,555556,27004337,11338235,94770,1.835,5165893,1379558,99.75
01:38:29.916716989,0.25,102980,5228215,5399124,601804,701243159,178792195,3391129,3.841,88288320,18924824,nosymbolsfoundin/bin/sleep,maybeinstalladebugpackage?
99.72
01:38:32.184317224,0.25,165206,7448578,5130447,488020,46411845,16468374,272140,3.506,7762843,1980730,99.72
01:38:34.292774408,0.25,104138,5606717,14752383,1825226,53477430,17048253,265579,3.369,7881896,2067148,99.72
01:38:36.424940521,0.25,91896,5094187,5179650,528237,27452896,11693212,102145,1.937,5273827,1422223,99.71
01:38:38.567203266,0.25,107009,5997560,9448473,1217428,24607570,11201754,90843,1.801,5043761,1376539,99.73
01:38:40.725081947,0.25,3293145,87412409,49255699,9633002,88083203,27799556,380946,2.838,13421886,3461248,99.71
01:38:42.920183418,0.25,478500,12511971,10297262,1632795,56302831,17367997,237337,2.873,8262112,2091986,99.72
01:38:45.256154616,0.25,319379,10284585,9177556,1201666,30987358,12936620,115516,1.982,5828799,1580713,99.72
01:38:47.386559589,0.25,91479,5295838,4962989,481198,27182878,11619542,98924,1.897,5213765,1416108,99.72
01:38:49.466441712,0.25,86005,5013329,5475896,527359,27340644,11383949,106019,2.035,5210861,1374574,99.73
01:38:51.725015215,0.25,96886,5305908,7036765,909533,23611105,10882834,80729,1.641,4919588,1332713,99.72
01:38:53.963946797,0.25,90173,5036328,5109786,493508,54851071,20817399,263464,2.772,9502941,2551196,99.72
01:38:56.057848947,0.25,120114,5847802,4870850,470590,23593672,11123605,79199,1.595,4964393,1369177,99.72
01:38:58.243323525,0.25,98325,5126114,4897420,481138,24007068,10884600,86502,1.745,4958107,1327405,99.72
01:39:00.396694156,0.25,84388,4974162,26879040,5202677,705635174,167655589,3372950,4.112,82021279,17529604,99.72
01:39:02.645806623,0.25,81162,4936870,4899634,462067,24563244,10631735,81133,1.670,4858011,1299013,99.72
01:39:04.715062378,0.25,270234,9223810,6463990,765613,25159924,11343827,80398,1.584,5074408,1394649,99.75
01:39:06.853902075,0.25,82556,5008216,7927470,1089204,22767384,10602565,79224,1.648,4806624,1297393,99.82
01:39:08.973163180,0.25,78724,4907760,7534637,1021738,24762882,11081309,77871,1.572,4954688,1368371,99.69
01:39:11.103433721,0.25,3330481,86395541,36238360,6509223,83076701,28111931,373904,2.789,13404658,3417785,99.81
01:39:13.299306975,0.25,468078,12285148,9300789,1486952,31274227,12443701,113111,2.007,5634911,1518381,99.72
01:39:15.431369562,0.25,299428,9982938,9644821,1457616,52550792,17350390,212097,2.649,8007191,2105967,99.73
