horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
22:16:59.930052809,0.25,1795685,72073843,5777544,657292,24867199,11181156,94950,1.849,5135229,1361257,99.70
22:17:02.182750582,0.25,139424,6267969,5579682,609090,25655605,11561644,89266,1.728,5167216,1424487,99.73
22:17:04.271479155,0.25,107647,5321198,5244884,551586,35153568,14100979,132287,2.055,6436669,1737819,99.79
22:17:06.345807843,0.25,133453,6052376,5313777,560196,26958295,11417119,103237,1.987,5196743,1390387,99.71
22:17:08.459322149,0.25,98832,5137593,5156159,540251,27723119,12439085,113798,2.021,5630896,1530945,99.73
22:17:10.672498538,0.25,288906,12345546,5821313,609689,30410282,12344777,115458,2.046,5642328,1509238,99.73
22:17:12.804841780,0.25,103969,5277980,5744574,628755,45616571,16098009,269470,3.535,7622730,1938712,99.73
22:17:15.019023170,0.25,130516,6369997,44292097,8494966,129614140,39192348,627323,3.266,19210424,4605091,99.73
22:17:17.101898761,0.25,299172,11164200,16804157,2063566,57217732,17866882,286464,3.386,8460921,2151703,99.72
22:17:19.219787750,0.25,115843,5501182,5181627,537338,25233543,11092602,92117,1.822,5056817,1354901,99.72
22:17:21.308391187,0.25,107718,5218735,18359519,2445660,25395426,10872474,91011,1.815,5013943,1322403,99.73
22:17:23.395910933,0.25,110384,5451978,11140193,1487969,26658285,11506722,104744,1.999,5240702,1398619,99.74
22:17:25.490177163,0.25,1625544,46149878,8733411,1219813,31856249,12944029,124015,2.114,5867591,1574945,99.73
22:17:27.615409932,0.25,102938,5193451,7966168,1102891,26760944,11510695,106992,2.046,5230555,1392482,99.73
22:17:29.722498301,0.25,106258,5241658,5049725,500926,324615623,87208394,1613566,3.773,42760998,9154434,99.73
22:17:31.861364819,0.25,481252,13708440,7332408,961668,40516327,15501032,200411,2.774,7224365,1875402,99.73
22:17:33.966837939,0.25,268786,8310743,5550612,549233,25016105,11286385,95958,1.871,5128744,1378978,99.72
22:17:36.255371229,0.25,92896,5159189,4936663,454797,31532457,13012666,112199,1.879,5972311,1598316,99.71
22:17:38.336147375,0.25,99072,5348802,5180308,507429,27266599,12290092,101243,1.832,5525825,1506066,99.73
22:17:40.585814687,0.25,584846,19733674,5310982,538252,26699308,11325833,91929,1.769,5196856,1378678,99.78
22:17:42.681515671,0.25,91116,5158168,5072147,491047,26115007,11509259,100759,1.919,5251242,1397088,99.72
22:17:44.785601621,0.25,74146,4863957,5416010,526074,320028212,85760987,1550702,3.716,41728013,9130789,99.71
22:17:46.917692300,0.25,236043,8225563,6899998,865347,45367860,16890591,192371,2.466,7800606,2079775,99.76
22:17:49.024033714,0.25,91915,5121649,5439142,542998,23390617,10868178,83934,1.698,4941687,1327573,99.73
22:17:51.209243602,0.25,105028,5898500,7388899,937005,26469708,11185179,92583,1.816,5097795,1367324,99.72
22:17:53.322365930,0.25,89436,5126767,4928809,451364,57694583,19157117,285010,3.289,8664584,2341116,99.76
22:17:55.460322271,0.25,1685513,43385119,11495661,1431505,51580917,18840849,290453,3.306,8785937,2287181,99.72
22:17:57.640214375,0.25,87361,5048232,5161450,516501,27878694,11754644,96682,1.807,5350095,1427406,99.72
22:17:59.737485735,0.25,85958,5087473,7428188,1023682,263736575,73054755,1349689,3.813,35400508,7648701,99.72
22:18:01.912518646,0.25,185622,7925583,9125623,1385725,43021708,16264482,185609,2.479,7487279,1993584,99.72
22:18:04.015039051,0.25,88422,5016259,5080751,498317,23710255,10861206,86400,1.746,4949088,1325471,99.71
22:18:06.323411616,0.25,253452,7793776,4956054,473074,24595917,11404013,88846,1.734,5124506,1389555,99.72
22:18:08.548305419,0.25,82661,4912568,6277727,636743,25293533,11336943,99693,1.946,5122714,1388340,99.72
22:18:10.765812485,0.25,458621,17175719,5119896,503794,47584573,16795966,223712,2.929,7639123,2027264,99.72
22:18:12.883865074,0.25,85692,5020703,5826925,589257,25057370,11005058,84694,1.713,4944487,1352198,99.72
22:18:15.074434393,0.25,87269,4946208,37701333,7225550,143947380,43390785,607341,2.912,20856612,5141895,99.72
22:18:17.215149391,0.25,216300,8246255,7367089,984288,23501260,10959864,78498,1.577,4976543,1344450,99.72
22:18:19.333974535,0.25,94608,5229631,6013108,592833,23514045,10768868,84357,1.722,4898054,1311108,99.73
22:18:21.488716876,0.25,223860,7927912,8637305,1053865,30630340,12996545,118053,2.046,5768738,1579363,99.72
22:18:23.600966062,0.25,87808,5461200,5040329,464635,48424089,15522037,245297,3.362,7295990,1853367,99.72
22:18:25.764902952,0.25,488625,17482227,5028925,480867,46687809,15197472,236838,3.326,7121875,1824424,99.72
22:18:27.890141411,0.25,75372,4947194,5193161,508462,24465657,10924500,74373,1.513,4914912,1344539,99.72
22:18:29.971236412,0.25,80397,4970339,7700688,1077810,147267401,45281600,637436,2.909,21914102,5292953,99.72
22:18:32.176180012,0.25,165194,6625140,9058021,1338187,23050811,10812025,75763,1.548,4895561,1326925,99.72
22:18:34.349562392,0.25,258690,8033052,5790939,544104,28434723,12316962,95790,1.708,5609585,1521484,99.72
22:18:36.430842710,0.25,239023,7375902,4848589,450002,32736068,14653375,123810,1.883,6574528,1798466,99.72
22:18:38.672653767,0.25,78841,4978062,5124611,493540,30036705,12777299,104345,1.806,5777464,1579377,99.72
22:18:40.814760034,0.25,457761,16879277,6952121,755718,86234807,33574818,464057,3.070,15114165,4148919,99.73
22:18:42.991740585,0.25,74009,4857768,5094623,513848,26876764,11606710,85223,1.592,5353634,1423947,99.72
22:18:45.163756471,0.25,106450,6056955,38976492,7651621,107767850,33669439,434570,2.668,16287961,4000753,99.72
22:18:47.314130783,0.25,155249,6714487,6453182,801978,25843060,11077839,89466,1.750,5111825,1347013,99.75
22:18:49.398594174,0.25,83259,5021733,4907957,447634,26984705,11449878,85105,1.631,5217677,1393893,99.73
22:18:51.461914947,0.25,200990,7286350,8003319,945841,29240709,12505357,99020,1.770,5593265,1527255,99.78
22:18:53.587066506,0.25,88810,5046537,4805062,429787,26271020,12109516,96617,1.764,5478180,1484915,99.73
22:18:55.685684635,0.25,1670834,43228792,7552297,746952,28744086,12665503,91496,1.616,5660275,1565032,99.73
22:18:57.905727105,0.25,103226,6201617,4903328,441021,54277827,17485795,254912,3.181,8012642,2133049,99.73
22:19:00.037857339,0.25,85086,5163507,5501538,548895,345810436,89460060,1734854,3.972,43678596,9360330,99.84
22:19:02.266418059,0.25,208608,8175189,10781056,1634432,29855384,13140342,114035,1.919,5941268,1620096,99.72
22:19:04.438323912,0.25,152183,8184148,7179534,949934,24440231,10820854,79749,1.630,4891317,1317721,99.74
22:19:06.538464129,0.25,75562,4920861,4906991,438004,28043406,12375560,99381,1.785,5568661,1506399,99.71
22:19:08.622190094,0.25,238001,7549736,4789274,423375,29882280,13861167,122799,1.932,6356315,1724135,99.72
22:19:10.748888329,0.25,1584691,40564805,6599082,652141,43115284,16279625,197340,2.700,7310016,1947286,99.72
22:19:12.860773451,0.25,238404,7599826,4997289,466861,26018210,11335238,81963,1.584,5175801,1389506,99.78
22:19:14.999287579,0.25,81431,4904456,5249442,519633,315883042,85302715,1540951,3.721,41407372,8981238,99.77
22:19:17.183497977,0.25,139415,6267496,8530387,1098797,38910417,15494577,175358,2.485,7056647,1889860,99.73
22:19:19.333967893,0.25,80763,4958791,5397090,528872,27303786,11686191,87532,1.647,5313063,1428300,99.72
22:19:21.488309096,0.25,216094,8160530,7899116,963598,25197136,11336128,82662,1.631,5067481,1371129,99.71
22:19:23.585291634,0.25,74272,4916026,4990612,455880,26500757,11217775,89434,1.757,5088715,1365463,99.73
