horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
02:08:06.759407616,0.25,1903901,77351666,11243193,1362448,26200906,11287729,99121,1.913,5181090,1380406,99.78
02:08:08.937856236,0.25,131933,5742994,5327357,521840,24274737,11104373,91952,1.820,5052920,1361030,99.71
02:08:11.101705847,0.25,92464,5145690,5164503,521827,43009119,17064911,219549,2.817,7792375,2098585,99.87
02:08:13.570434242,0.25,105092,6104133,11168258,1584452,31350913,13311025,122732,2.008,6112276,1630367,99.74
02:08:15.671859393,0.25,94428,5150321,11443711,1652501,54164107,19022848,274037,3.133,8747240,2304981,99.72
02:08:17.807150672,0.25,136408,5941898,6147540,650153,25609230,10979931,92788,1.833,5061267,1339967,99.77
02:08:19.975609799,0.25,339376,10305727,5092740,520894,26492085,11563609,95059,1.818,5229003,1418667,99.72
02:08:22.045180588,0.25,307256,8982192,5136088,512010,29670418,11823443,111891,2.055,5446121,1432555,99.75
02:08:24.174673556,0.25,270056,7906296,5001360,517446,26339795,11622303,117362,2.200,5334890,1410386,99.72
02:08:26.300771640,0.25,104372,5306439,5404855,576352,28174821,11900332,106374,1.984,5362721,1463089,99.81
02:08:28.898868942,0.25,112746,5411022,5451588,596069,25929603,11551750,101046,1.928,5240475,1417892,99.71
02:08:31.117670074,0.25,104290,5325287,5213363,555094,27077239,11881830,116014,2.138,5425478,1447237,99.72
02:08:33.298528325,0.25,104019,5153680,5612485,582129,28077296,11554457,111912,2.104,5318357,1406409,99.72
02:08:35.453790888,0.25,110132,5788025,6132355,660833,115959578,39409914,617388,3.316,18618605,4866156,99.78
02:08:37.600694106,0.25,93510,5140243,5216368,546806,58087586,21481902,323642,3.241,9986160,2627983,99.72
02:08:39.711321781,0.25,91764,5213374,4960791,502298,32615487,13435676,122658,2.005,6117888,1658172,99.72
02:08:41.823891792,0.25,116486,5511754,8176146,1131940,633519724,173922956,3653485,4.275,85461998,18410750,99.88
02:08:44.316668074,0.25,555946,15023862,9540370,1475709,85702779,25100249,405996,3.367,12057146,3029042,99.74
02:08:46.590395051,0.25,463342,14026598,12216355,1923193,85566204,28052933,413784,3.074,13461009,3429629,99.72
02:08:48.716643764,0.25,331853,10222191,10463492,1683778,90156210,27180032,418136,3.212,13016996,3306209,99.72
02:08:50.850106825,0.25,111579,5884926,4949517,452626,23090922,10786766,76872,1.574,4884368,1315526,99.73
02:08:53.093328237,0.25,77896,4917325,5359805,550821,27626386,11630000,97405,1.862,5231182,1421326,99.74
02:08:55.166157093,0.25,75443,4837155,4955262,477727,27005423,11471771,96227,1.849,5204109,1392862,99.78
02:08:57.237936735,0.25,79150,4968504,4883109,437837,58482223,23311284,347213,3.164,10975366,2611754,99.90
02:08:59.847569730,0.25,134302,7136984,5774686,579732,54208062,17253800,260523,3.229,8067035,2082828,99.33
02:09:01.902782141,0.25,105256,5501431,5511645,540441,47992800,15384165,240791,3.303,7290415,1846178,99.73
02:09:04.014299503,0.25,97870,5450218,5502756,586038,25006743,10931577,84768,1.703,4976309,1331271,99.72
02:09:06.091926156,0.25,268176,9775876,10799497,1583313,29019836,12096690,109663,2.000,5482003,1467338,99.72
02:09:08.185171294,0.25,79922,4902955,7416400,1033179,25947242,11396207,94096,1.826,5153768,1384797,99.72
02:09:10.295985170,0.25,81758,5257318,7209710,939605,31091036,13088001,114191,1.914,5965075,1598606,99.78
02:09:12.450259670,0.25,218098,7311873,5729987,539858,25721051,11699525,94912,1.793,5293295,1430356,99.68
02:09:15.075708809,0.25,202813,10533089,5873181,640046,31680417,13386485,129924,2.124,6116985,1612745,99.72
02:09:17.282871450,0.25,70814,4719126,5099690,509352,23884536,10831930,84949,1.726,4921176,1319124,99.75
02:09:19.425069172,0.25,82608,4953711,5574662,549338,24303064,10697461,76719,1.580,4854244,1310851,99.72
02:09:21.509069449,0.25,97885,5457295,5203091,529778,24346641,10682060,77348,1.584,4884408,1301221,99.76
02:09:23.650457487,0.25,92896,5050875,4917887,469100,28704038,13154266,102066,1.719,5936696,1625990,99.72
02:09:25.890393813,0.25,98061,5192265,8851074,1031803,55606318,17847689,263985,3.214,8214497,2158689,99.72
02:09:27.967994635,0.25,95406,5230744,4823575,446948,48142912,15731322,239809,3.271,7332060,1883274,99.89
02:09:30.470380996,0.25,371045,13311451,19416015,3169848,71379499,21529215,321912,3.137,10262023,2571114,99.72
02:09:32.828702100,0.25,473202,12635461,9147547,1386875,73202279,21504115,316699,3.087,10258047,2586053,99.72
02:09:34.985434615,0.25,284730,9581288,10177663,1597486,85921135,30718242,384749,2.730,14091945,3912931,99.73
02:09:37.326100211,0.25,72711,4770494,4895933,455492,25484457,10986981,87209,1.756,4966840,1342546,99.72
02:09:39.396051636,0.25,82320,4908051,5222311,517358,23478972,10520201,70623,1.471,4799757,1292781,99.72
02:09:41.538895765,0.25,78618,4954459,5240910,516315,24865696,11579904,81406,1.554,5238320,1427363,99.73
02:09:43.740434785,0.25,93281,5227330,5412708,508749,106518409,38799750,684099,3.600,19005298,4017018,99.93
02:09:46.277210815,0.25,324279,12892581,5777317,624574,47313197,16127349,252048,3.331,7567150,1939510,99.72
02:09:48.394065768,0.25,88344,5250041,5409642,515642,27786186,11846706,94424,1.762,5358182,1455850,99.75
02:09:50.524055050,0.25,80412,4881609,7926733,1073906,23242632,10827687,76989,1.578,4879923,1327201,99.73
02:09:52.687480043,0.25,73430,4876674,7834083,1093631,24847808,11007654,75165,1.501,5006086,1349145,99.72
02:09:54.755698196,0.25,114391,5991501,5160350,491198,25051475,10927952,82858,1.655,5007396,1333892,99.73
02:09:56.859436740,0.25,258635,8022708,4912170,448966,26203283,12034747,89728,1.641,5468465,1465299,99.72
02:09:58.939756516,0.25,249603,7596036,4835228,444178,25931076,11367063,75819,1.481,5117974,1401757,99.82
02:10:01.423360658,0.25,608384,22446310,8415321,1133556,24166857,10854535,76448,1.543,4953830,1332468,99.73
02:10:03.531508719,0.25,83435,5062893,5217939,546602,23035647,10349922,64863,1.367,4745070,1268070,99.72
02:10:05.660226861,0.25,96226,5660478,10852758,1382859,60248342,24075110,294679,2.728,10800970,2987918,99.75
02:10:07.776893902,0.25,128864,7095720,5403052,551472,23782294,11111696,81709,1.630,5012601,1357513,99.73
02:10:09.852451040,0.25,95038,5607316,4986487,454091,23270709,10960680,77666,1.569,4951018,1339808,99.72
02:10:11.999104014,0.25,94647,5196320,4781377,407889,23368203,10503290,68310,1.423,4801707,1279783,99.73
02:10:14.057565277,0.25,97550,5432647,4828682,436373,23594780,10796165,71849,1.472,4880200,1322049,99.89
02:10:16.551436989,0.25,540880,19112591,10934610,1318282,48317473,16742661,260349,3.300,7889531,2015067,99.73
02:10:18.626311475,0.25,264910,9480164,10122189,1543551,64109036,18909210,253980,2.813,9028979,2269482,99.72
02:10:20.754110248,0.25,292923,10291922,8464543,1201632,30210958,11600003,106234,1.953,5440887,1404997,99.72
02:10:22.860666025,0.25,305995,10516914,9195562,1419166,22814954,10762547,76903,1.579,4870876,1316770,99.84
02:10:24.963458587,0.25,90535,5174839,7075310,939886,24292369,11246693,72968,1.434,5088338,1381985,99.72
02:10:27.060433098,0.25,98992,5654970,5217509,492419,23709804,10655860,74025,1.531,4835602,1298226,98.88
02:10:29.154251110,0.25,246103,7872124,4945853,451575,23935021,10898849,72924,1.488,4900892,1336218,99.72
02:10:31.550057608,0.25,3116804,79236245,13113958,1722582,53294285,18563206,205686,2.308,8910023,2204370,99.73
02:10:33.982622774,0.25,82200,5080054,4806837,421620,24917125,10957727,74566,1.497,4980636,1345668,99.72
02:10:36.053096862,0.25,263434,9947006,10990575,1333737,29637848,12325251,96857,1.736,5580179,1509219,99.73
02:10:38.158230563,0.25,76160,4948447,4978680,450588,23434036,10807127,70234,1.429,4914878,1316992,99.72
02:10:40.254633723,0.25,80025,5165090,4947948,462195,26408745,11390655,87336,1.689,5172122,1384460,99.72
02:10:42.387305554,0.25,72444,4779215,4929473,460281,29009583,13446825,103368,1.725,5990828,1657541,99.72
02:10:44.540131635,0.25,79471,4963067,4939610,436044,22043070,10512652,66805,1.407,4747543,1300805,99.72
02:10:47.140930202,0.25,3011711,77223267,4906095,437046,29348108,12453621,106021,1.829,5797322,1492586,99.72
02:10:49.367650651,0.25,65148,4772990,7498348,965811,22269628,10545126,72589,1.518,4781825,1292379,99.72
02:10:51.525770098,0.25,79924,4965400,7419003,990122,23183577,10818369,67661,1.385,4886449,1335522,99.72
02:10:53.656176522,0.25,251209,8304617,5113996,472167,25175840,11260081,78379,1.536,5101901,1388555,99.73
02:10:55.686115812,0.25,224308,7187489,6663433,827915,39021836,15284077,176399,2.591,6807502,1854919,99.70
02:10:57.781935643,0.25,246562,7878038,4812216,440652,23952937,10678328,74258,1.529,4857156,1307721,99.73
02:10:59.969239361,0.25,81501,5075272,4722816,414265,24731481,11064697,79990,1.607,4976423,1349981,99.71
02:11:02.591420666,0.25,185026,8071669,6426818,811717,57997894,19454944,261097,2.814,9279761,2322860,99.83
02:11:04.748523088,0.25,253157,8850702,12650395,1798548,54201381,19315237,236020,2.649,8910342,2307716,99.72
02:11:06.979743209,0.25,111735,5750983,9937957,1389885,63940122,19931684,237753,2.599,9147819,2415125,99.71
02:11:09.108459329,0.25,87681,5153856,5886375,716575,42584561,15714268,236476,3.236,7307264,1899975,99.72
02:11:11.320175355,0.25,67062,4815199,5361860,485920,36969180,14093291,181298,2.791,6496546,1706775,99.78
02:11:13.453661042,0.25,73469,4944906,7189012,950686,22909299,10473012,64852,1.369,4737248,1292562,99.72
02:11:15.643226212,0.25,75376,4884167,10790092,1545790,565795980,157250829,3095762,3.954,78285416,15797850,99.86
02:11:18.089873521,0.25,305028,9667143,4813721,429404,23498269,10649967,75943,1.566,4850204,1297756,99.73
02:11:20.204391464,0.25,68452,4759570,4798673,434692,24322966,11058665,80638,1.620,4976510,1349136,99.72
02:11:22.339688291,0.25,66301,4783005,4788570,420951,27931407,11709176,94470,1.773,5328870,1426749,99.72
02:11:24.434177245,0.25,66643,4793105,4857405,428774,22195780,10543196,70572,1.480,4767564,1294462,99.73
02:11:26.590758109,0.25,79066,5134777,5088027,487189,22420265,10491301,70385,1.472,4780560,1294982,99.71
02:11:28.774977102,0.25,76903,5075852,5395087,543993,24167772,10921063,70716,1.435,4928604,1338061,99.71
02:11:30.824270804,0.25,76868,4974192,4700440,409502,23666795,10543871,72500,1.500,4834790,1283894,99.91
02:11:33.396955523,0.25,90168,5136431,4806615,427865,49083135,16188015,240556,3.181,7562160,1950199,99.82
02:11:35.457029343,0.25,74095,4889309,4851479,423285,70156962,21940528,360711,3.526,10228809,2636566,99.72
02:11:37.549486326,0.25,75393,4976935,4863409,424776,45716828,14812102,218131,3.145,6934802,1791058,99.74
02:11:39.595109835,0.25,75219,4965700,4958314,473210,22962351,10507910,64973,1.361,4773216,1296510,99.72
02:11:41.720048732,0.25,75041,4908292,7196229,966748,22759184,10329979,66989,1.415,4734251,1269455,99.73
02:11:43.764718755,0.25,73895,4967582,7153268,961949,23906822,10984569,72885,1.475,4941902,1351734,99.73
02:11:45.850755763,0.25,77757,4923177,9510869,1427188,29829748,13091545,97286,1.662,5851812,1607541,99.72
02:11:48.358417699,0.25,2997385,75988565,10009054,1473575,75975486,23090381,288610,2.712,10643268,2789214,99.77
02:11:50.587829655,0.25,92859,5364953,5571909,564450,61931044,19042255,231443,2.620,8834578,2301400,99.72
