horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
10:40:21.296689676,0.25,1881512,74582715,12813901,1629610,59674933,19830775,290778,3.120,9320566,2401051,99.72
10:40:23.405397317,0.25,111605,5431154,7534859,975366,25095209,10957030,95609,1.901,5029552,1335291,99.72
10:40:25.573313711,0.25,132778,6014635,10190027,1350814,128034669,46342406,711241,3.361,21161477,5670051,99.80
10:40:27.679678949,0.25,113577,5434015,12223652,1593698,27370435,11758596,118499,2.192,5406847,1424530,99.71
10:40:29.838334736,0.25,98707,5221489,5105655,506280,32342144,13258218,126532,2.086,6066635,1615514,99.71
10:40:31.937679667,0.25,381531,11120064,5331890,578880,25143237,11382611,99381,1.918,5181980,1383223,99.72
10:40:34.167957241,0.25,305948,9888474,5361470,604899,29278835,11871194,117619,2.136,5506124,1446111,99.71
10:40:36.279540763,0.25,331135,10789609,5299192,549587,53833110,18992310,285809,3.259,8769658,2288305,99.72
10:40:38.453867305,0.25,115703,5398771,5382319,562258,27348277,11606877,104891,1.969,5328381,1404452,99.80
10:40:40.585189236,0.25,113786,5368080,5932496,640318,30749121,12736463,116958,2.004,5835815,1548414,99.72
10:40:42.705268224,0.25,102946,5333077,5322890,583067,29965020,12346046,120546,2.126,5668777,1493574,99.73
10:40:44.814435673,0.25,91546,5103776,5285411,573031,28147164,11575607,116737,2.174,5368891,1391263,99.73
10:40:46.948181784,0.25,809763,25489490,5787554,585227,32210609,13094761,134226,2.239,5993899,1597940,99.73
10:40:49.081709865,0.25,115094,5366004,5696995,632893,26228941,11645916,96344,1.833,5257186,1434297,99.73
10:40:51.174807956,0.25,116404,5474575,5540294,636929,28394553,11745025,107564,2.014,5340447,1450504,99.72
10:40:53.356567430,0.25,109610,5290049,5010579,509000,48272748,17716155,278928,3.373,8269765,2142984,99.72
10:40:55.596769582,0.25,141652,6264988,5073847,545726,120739035,40263392,638236,3.377,18899537,4951995,99.72
10:40:57.687656238,0.25,110267,5454676,5104968,521503,61400083,19701609,310253,3.342,9282482,2390082,99.72
10:40:59.784719737,0.25,92725,5166143,5358471,569593,27524889,11402590,116590,2.216,5261216,1378620,99.71
10:41:01.846914835,0.25,91849,4949057,9432024,1341751,25459218,11135491,106329,2.078,5117019,1351358,99.72
10:41:04.090814225,0.25,113039,5345978,9136609,1270797,26074783,11580813,98159,1.842,5327968,1409226,99.72
10:41:06.244373195,0.25,599732,17969982,11970329,2037811,212914439,62693659,996436,3.279,30391635,7168074,99.72
10:41:08.407692332,0.25,482804,14331587,8686037,1149441,52346906,18184300,223963,2.616,8561660,2212852,99.72
10:41:10.550735785,0.25,240380,8455324,10252711,1349286,38588567,15203888,175689,2.494,7045527,1833848,99.73
10:41:12.707922986,0.25,85350,4963475,4969405,482399,25843940,11389589,110006,2.120,5188621,1376260,99.73
10:41:14.815301410,0.25,76984,4873070,5298503,493770,29499141,12126751,115338,2.097,5500918,1472557,99.74
10:41:16.930707294,0.25,207963,7889182,5438915,535384,25780471,10968956,90638,1.807,5015939,1326725,99.74
10:41:19.046780141,0.25,79909,4925403,5491798,553672,23193477,10772018,81022,1.655,4895601,1313833,99.71
10:41:21.227744508,0.25,88424,5110026,5431627,608365,26219507,11325682,82719,1.604,5157457,1393661,99.73
10:41:23.299878593,0.25,103560,5718613,5433932,525451,23957156,10512874,79586,1.632,4876952,1280291,99.72
10:41:25.386498452,0.25,94406,5124908,5508424,524723,45496259,18574356,245346,2.854,8597608,2252491,99.73
10:41:27.671705922,0.25,86349,5015334,5137205,488083,25381065,11127429,92504,1.834,5043448,1354992,99.71
10:41:29.786578171,0.25,82834,4934224,4835097,448060,44737092,16245805,260354,3.444,7558901,1950167,99.72
10:41:32.015137695,0.25,108384,6156260,5033580,482067,24186000,10758298,79904,1.647,4850782,1319159,99.71
10:41:34.113463654,0.25,89318,5237806,6252945,751056,24273528,10723983,77375,1.582,4891292,1310601,99.78
10:41:36.275022028,0.25,266263,9405262,7522765,1040518,49240635,18261508,231861,2.827,8200531,2219015,99.71
10:41:38.364040526,0.25,85821,5029878,8137852,1071584,25437076,11087458,88476,1.744,5072754,1352305,99.75
10:41:40.479462894,0.25,97826,5218017,4882931,446702,24210309,10757410,83393,1.694,4923643,1309649,99.72
10:41:42.608909736,0.25,344452,10475302,4854616,479851,24035121,10877358,89775,1.804,4975760,1317210,99.72
