horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
00:41:49.632879519,0.25,1847640,74280958,11146375,1336161,25211012,10870955,84846,1.693,5012126,1318108,99.72
00:41:51.736732776,0.25,86464,5272120,5012303,503801,24443749,11358629,80133,1.565,5121345,1392816,99.72
00:41:53.940222760,0.25,74234,4968831,11170663,1418257,40663409,16565170,212745,2.852,7459786,1998191,99.80
00:41:56.011870663,0.25,97529,5393575,4927087,464278,24607350,10915537,75389,1.531,4922968,1341722,99.73
00:41:58.105566924,0.25,97662,5161599,4822008,465743,28525435,12636707,109271,1.898,5757147,1551750,99.72
00:42:00.503292775,0.25,86963,5216265,5068345,482888,50483861,15931337,303372,4.027,7533800,1916008,99.73
00:42:02.576014162,0.25,80298,4894304,4844314,466249,46667518,15203629,225238,3.182,7078569,1828715,99.72
00:42:04.657217499,0.25,214704,7739350,35954041,6015817,31664509,13626313,101460,1.592,6372455,1725481,99.72
00:42:06.830063111,0.25,94778,5744131,7586529,1044565,24276295,11198450,79623,1.571,5068544,1375966,99.72
00:42:08.979288182,0.25,81681,5206328,7444784,993067,23647652,10810080,73548,1.503,4892786,1329774,99.73
00:42:11.084272525,0.25,91275,5088477,6465648,702328,24196649,10645650,77671,1.591,4881550,1298679,99.71
00:42:13.216683854,0.25,257532,8104632,4839049,434269,22823762,10597424,69352,1.447,4793871,1303725,99.72
00:42:15.359184781,0.25,293813,9739619,6856334,1174322,24650378,11297018,91358,1.796,5087269,1383821,99.72
00:42:17.629804208,0.25,151121,6614696,5134956,490449,35153527,15578220,138426,1.975,7010190,1931795,99.72
00:42:19.780169378,0.25,81246,4978205,4925096,475015,23335270,10444296,72920,1.520,4797155,1270505,99.73
00:42:21.902246992,0.25,73308,4794011,5110714,506943,25742312,11325620,84355,1.625,5189867,1379786,99.74
00:42:23.983020274,0.25,72734,4856618,8406360,1055777,40612773,15210917,193148,2.798,6902445,1831221,99.72
00:42:26.044843103,0.25,75597,4927606,5427009,494105,24389572,10649346,80889,1.646,4914018,1289487,99.72
00:42:28.186480177,0.25,97451,5535916,4765906,433274,23837645,10585702,76346,1.578,4838201,1289492,99.72
00:42:30.277768421,0.25,98030,5342636,4849596,456361,23430598,10997105,78246,1.584,4940415,1338558,99.73
00:42:32.503617797,0.25,79373,4919685,4867476,445545,24854902,10897385,88316,1.761,5014999,1315438,99.72
00:42:34.608575314,0.25,99528,5250934,23364791,4178869,62412890,20664460,293310,2.987,9817964,2529873,99.76
00:42:36.771442467,0.25,76691,4873078,4941389,459435,54524697,17368549,255690,3.159,8095177,2104501,99.72
00:42:38.837380592,0.25,97660,5522690,5103355,495680,52107938,16783362,242817,3.118,7788361,2033220,99.78
00:42:40.950982504,0.25,86848,5337409,5675865,574147,23423076,10432376,72613,1.519,4780965,1275509,99.73
00:42:43.062707027,0.25,72134,4869838,7848672,1041157,24268161,10790838,73057,1.479,4939585,1318705,99.75
00:42:45.263868937,0.25,282257,11061875,7175087,828625,37626474,13885983,147658,2.258,6539320,1681982,99.77
00:42:47.465520846,0.25,267706,8681835,4882854,450607,23896282,10775902,72912,1.496,4872617,1318707,99.72
00:42:49.607883330,0.25,241574,7626214,4743933,392922,24974544,10819070,81474,1.640,4968897,1317755,99.82
00:42:51.723689295,0.25,74396,4842288,5285833,469814,24455801,10809117,77970,1.579,4937778,1315012,99.73
00:42:53.782235726,0.25,76626,4925046,4890805,455181,22922267,10844278,74712,1.541,4849324,1335940,99.85
00:42:55.984982785,0.25,76526,4835031,5425246,570938,24210315,11033740,87129,1.738,5013868,1355167,99.72
00:42:58.174717338,0.25,71920,4979595,5107924,490366,23716824,10707425,72060,1.487,4847022,1305393,99.72
00:43:00.251575785,0.25,83951,4945371,4995420,483804,23128506,10949188,73823,1.500,4922962,1335034,99.73
00:43:02.481862588,0.25,99148,5853170,4866274,454378,24170400,10720373,78206,1.603,4877770,1310010,99.72
00:43:04.552542723,0.25,87238,5005785,21276199,3776002,66698411,22698709,289687,2.645,10953912,2566833,99.73
00:43:06.657550808,0.25,86132,5025561,4814900,435909,23111957,10837456,78654,1.612,4880702,1324141,99.71
00:43:08.811082365,0.25,76953,4929528,4882481,453486,23070653,10982847,77213,1.574,4906502,1350355,99.71
00:43:10.991559501,0.25,70740,4888162,4992711,470300,42137702,15280611,235999,3.269,7219992,1836506,99.73
00:43:13.244304347,0.25,76514,4995636,5050555,481871,22020934,10455894,67549,1.413,4780011,1279701,99.74
00:43:15.463200721,0.25,359732,14707564,9984338,1609102,49384258,18407224,222483,2.564,8677152,2269033,99.75
00:43:17.549018508,0.25,74507,4976901,7029548,924479,28135400,12278888,85929,1.547,5553714,1509180,99.73
00:43:19.658648136,0.25,73312,4889899,4832395,418119,23401019,11029901,72912,1.469,4961900,1351041,99.71
00:43:21.795768968,0.25,239680,7520135,4973591,457351,22545279,10541371,71179,1.475,4825898,1287486,99.72
00:43:23.958266897,0.25,108914,5418624,8021827,966271,42392938,17801926,203902,2.562,7959700,2169650,99.72
00:43:26.131941295,0.25,71077,4837382,4948644,472248,25167880,10805829,84593,1.709,4948866,1324196,99.73
00:43:28.195515098,0.25,77953,4884565,4778967,428678,23326047,10641455,76177,1.569,4854935,1299331,99.72
00:43:30.378927481,0.25,82465,4960889,4847928,446724,27303227,11809453,88322,1.648,5359660,1439887,99.72
00:43:32.456305609,0.25,79735,5054986,4984710,490594,25203631,11019397,77222,1.536,5027134,1350068,99.72
00:43:34.547905509,0.25,65035,4897742,5215223,519799,87278855,34510609,447069,2.776,16102653,4080729,99.72
00:43:36.693814588,0.25,72441,4823070,4919551,471125,23289827,10928179,79253,1.615,4906838,1338169,99.73
00:43:38.875553018,0.25,83810,5004108,4900100,459738,22439981,10274901,66820,1.416,4717656,1256770,99.71
00:43:40.975977260,0.25,86816,5212481,4882900,457007,24585267,11518575,79700,1.535,5190750,1406216,99.72
00:43:43.166261909,0.25,72069,4954371,5056357,463412,40725871,15006218,229689,3.262,7040855,1803941,99.84
00:43:45.322071681,0.25,372048,13484886,7500294,933254,60985723,18769158,296795,3.358,8838640,2255827,99.83
00:43:47.404578694,0.25,85276,4982428,4788965,456470,50518130,16550768,237365,3.094,7671172,2003674,nosymbolsfoundin/bin/sleep,maybeinstalladebugpackage?
99.72
00:43:49.479992712,0.25,74129,4961001,4846404,457626,33479540,12437275,133574,2.331,5731302,1501684,99.72
00:43:51.561519260,0.25,66982,4778409,7201827,969433,24791656,10712630,77713,1.578,4926228,1302842,99.74
00:43:53.720044073,0.25,69742,4812233,7008834,952238,43186215,17155592,200138,2.588,7732330,2082595,99.72
00:43:55.811854750,0.25,76636,5102044,7003040,929656,24046877,10734420,77058,1.570,4908313,1299217,99.72
00:43:57.932480271,0.25,75460,4895369,4891688,451836,23476899,10794312,65865,1.354,4865618,1327818,99.72
00:44:00.043767336,0.25,223689,7044582,4953462,471184,22913249,10456817,68461,1.430,4785853,1280693,99.84
00:44:02.136191135,0.25,228656,7195444,4969293,456892,23186982,10944570,74952,1.509,4966285,1338253,99.73
00:44:04.263402830,0.25,415327,12556415,4688330,403889,97788199,33339880,571716,3.550,16105721,3472097,99.70
00:44:06.396187785,0.25,80165,4924112,4824827,439701,25022739,11142462,81360,1.616,5035765,1362525,99.33
