horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
02:21:00.754794170,0.25,1878251,74978231,8807433,1040781,66674821,21092691,328427,3.297,9962349,2588358,99.72
02:21:02.851525155,0.25,117134,5485377,5286508,541385,25837752,11205878,91798,1.801,5096204,1377999,99.78
02:21:05.000573889,0.25,115716,5668449,13060980,1746805,24361923,11338295,91668,1.795,5105610,1393890,99.86
02:21:07.308280157,0.25,107123,5395555,11233006,1454385,28922029,12073947,112510,2.065,5448779,1470853,99.72
02:21:09.428463774,0.25,370093,11157878,5307524,556675,33596254,14750858,138752,2.023,6858883,1801282,99.72
02:21:11.591516565,0.25,298770,8848775,5508428,601146,28380636,11656727,109866,2.077,5288639,1427984,99.72
02:21:13.704466428,0.25,93790,4988067,6176221,666164,26103881,11434610,105344,1.998,5272384,1403346,99.72
02:21:15.947946849,0.25,117213,5468834,4946686,481213,28894388,12092940,102353,1.881,5440857,1495849,99.72
02:21:18.051058172,0.25,132320,6084430,8484932,1162343,29953121,12452900,110920,1.969,5632810,1526427,99.73
02:21:20.205819223,0.25,93520,5137747,5194245,568533,36334769,15865737,133839,1.891,7076539,1877378,99.89
02:21:22.572897276,0.25,102294,5125323,6481031,693003,24528704,11136745,94594,1.873,5050567,1366929,99.84
02:21:24.779051014,0.25,108330,5388697,5115833,554772,26248307,11475442,111593,2.123,5256798,1404920,99.72
02:21:26.880200325,0.25,116582,5402373,5109953,528311,145006962,53236674,886546,3.650,24290265,6617841,99.79
02:21:28.925665939,0.25,126162,5579553,5086800,509153,59458842,18441096,297337,3.446,8627823,2228851,99.77
02:21:31.059471674,0.25,132483,5959072,5000575,511140,57236148,20568066,313596,3.271,9586435,2494231,99.73
02:21:33.173664316,0.25,95084,5122361,5059887,527552,27680175,11798912,100323,1.888,5314225,1435819,99.72
02:21:35.267977355,0.25,100180,5495496,7223817,919438,28917547,11951655,113575,2.084,5450656,1452276,99.82
02:21:37.627052438,0.25,436039,15178408,8178779,1129196,30938229,12101605,115032,2.031,5665162,1470783,99.72
02:21:39.796144729,0.25,556830,14442641,10705732,1701173,80436127,24952540,364917,3.122,11690242,3039981,99.72
02:21:41.942209248,0.25,505600,13921917,5947388,677337,84224500,25029601,374638,3.131,11963728,3030738,99.79
02:21:44.122653737,0.25,186042,7368979,5307367,523477,25300334,11561328,94800,1.832,5175949,1414926,99.72
02:21:46.220480839,0.25,86435,5321877,5266498,502320,27515608,11525897,101424,1.939,5229985,1398391,99.72
02:21:48.313145182,0.25,79308,4893338,4944169,479840,27724217,12475258,104231,1.875,5559428,1529076,99.72
02:21:50.518886518,0.25,79495,4994290,5204512,527368,28216314,12122389,94894,1.734,5472390,1488410,99.83
02:21:52.925035598,0.25,172899,8369564,5673596,610871,24635633,11279779,83017,1.653,5021091,1391845,99.72
