horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
22:47:18.143498946,0.25,4292114,129870833,106000422,14537389,386626395,243665408,1254851,1.930,65015367,17584691,99.89
22:47:21.120956263,0.25,112134,5307384,5433400,614369,26721743,11570805,98000,1.883,5204878,1424923,99.72
22:47:23.246377463,0.25,112675,5418171,8923346,1246923,36345820,15333531,190745,2.672,7138612,1795717,99.89
22:47:25.515249453,0.25,110746,5374636,8186729,1102773,29934985,12150843,117275,2.111,5556389,1489089,99.72
22:47:27.680318705,0.25,373558,11578376,11203999,1479995,26343817,11282799,97565,1.906,5117569,1391429,99.73
22:47:29.811210472,0.25,382919,11859087,5379160,570229,27119871,11668157,114162,2.144,5325315,1419153,99.73
22:47:31.970886711,0.25,93456,5165140,5274642,526365,27534364,11672160,108745,2.034,5346484,1420249,99.72
22:47:34.083973834,0.25,103637,5294159,5140563,521118,27697485,11590935,109654,2.064,5311727,1415278,99.72
22:47:36.220309103,0.25,108228,5302481,5365245,572374,27284776,11514688,105341,2.003,5259306,1410195,99.79
22:47:38.362921526,0.25,95675,5160693,5832458,602403,25364579,11544647,96628,1.848,5228558,1419962,99.57
22:47:40.618363698,0.25,112076,5350171,5217045,572622,24878781,11273177,98451,1.923,5118869,1381494,99.82
22:47:42.820651978,0.25,123879,5769768,5409496,587107,36517764,15877759,167507,2.309,7254819,1992391,99.73
22:47:44.928773502,0.25,115726,5351665,5236186,577293,34182544,13480216,135312,2.207,6130371,1644429,99.73
22:47:47.045263128,0.25,118854,5625359,5032087,505483,67823713,25016853,355620,3.002,11847453,3071732,99.79
22:47:49.194628836,0.25,116981,5875327,9308925,1234902,53370608,17119341,272901,3.388,8056113,2071507,99.72
22:47:51.286785953,0.25,112148,5634425,5948036,622777,63482527,19931994,304145,3.279,9276079,2432297,99.73
22:47:53.518198168,0.25,117342,5806593,9634293,1269749,407387666,107002850,2025106,3.950,51269097,11467759,99.72
22:47:55.722728497,0.25,219420,8299651,13173806,1940474,47589519,16346009,229585,2.932,7829164,1964206,99.71
22:47:57.965549544,0.25,711044,20412855,16464061,2189892,63397791,23157461,280840,2.623,10707063,2896812,99.89
22:48:00.091026902,0.25,303292,8871066,5180939,517767,27002297,11388478,95739,1.859,5149389,1407824,99.72
22:48:02.159463851,0.25,274549,8022337,5513030,572815,25776403,11158866,90967,1.805,5038390,1372016,99.77
22:48:04.315669777,0.25,98538,5212977,5318981,574476,27596297,11786356,111240,2.093,5316105,1448197,99.72
22:48:06.383971652,0.25,93735,5059959,6418713,668043,29443461,11864698,115032,2.120,5426627,1459611,99.77
22:48:08.534966779,0.25,99489,5228214,5273383,522109,32379883,13149870,125096,2.079,6015912,1603078,99.72
22:48:10.700933039,0.25,97790,5236312,5163538,540560,26801038,11055167,92945,1.822,5100452,1348735,99.77
22:48:12.801340207,0.25,81304,5081984,5691809,627104,24141637,11341187,89044,1.762,5054054,1393983,99.72
22:48:14.966201339,0.25,92758,5147406,5183776,540388,24477097,11189961,95444,1.881,5074313,1364098,99.73
22:48:17.053028491,0.25,96209,5152213,4935079,477685,72944245,26882680,334483,2.720,12295278,3328348,99.73
22:48:19.118996043,0.25,109436,5516831,5099688,503239,29467190,11790861,102014,1.857,5493986,1431506,99.83
22:48:21.269417295,0.25,98364,5195032,5254227,508257,24481605,11109918,82563,1.650,5003947,1364665,99.72
22:48:23.360512775,0.25,97441,5250178,4943691,468039,37407845,13547830,157158,2.539,6189738,1660716,99.84
