horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
11:30:54.046691095,0.25,1861697,76981692,10060669,1187572,25949655,11069920,93560,1.837,5093946,1342575,99.73
11:30:56.108689585,0.25,105184,5259125,6391230,681797,26129810,11131326,98160,1.903,5157763,1355470,99.73
11:30:58.325850317,0.25,129761,5545721,5470794,534546,26035886,10942728,91931,1.809,5082367,1329103,99.82
11:31:00.476676583,0.25,119675,5489424,5131159,534629,77039014,26252673,377657,3.110,12143833,3272236,99.72
11:31:02.607821965,0.25,111218,5232008,5199161,533666,70005721,21996090,358229,3.456,10365044,2689386,99.83
11:31:04.756935069,0.25,100987,5355846,5016592,470476,31200951,12629209,123370,2.143,5755992,1537312,nosymbolsfoundin/bin/sleep,maybeinstalladebugpackage?
99.72
11:31:06.811683921,0.25,98800,5127891,5373239,571949,26181121,11211597,99352,1.928,5153513,1360892,99.84
11:31:08.973108434,0.25,104430,5369539,11620364,1588746,47871397,18412386,242503,2.819,8603894,2254674,99.74
11:31:11.050048875,0.25,86692,5010557,11341557,1491532,27714405,11334414,103391,1.981,5219126,1382646,99.72
11:31:13.139504472,0.25,110193,5561890,9171739,1226026,25202185,10806565,94766,1.898,4994225,1316285,99.72
11:31:15.212340560,0.25,101690,5146694,5106138,507010,25397996,10946107,93115,1.844,5049191,1337512,99.73
11:31:17.316390879,0.25,173045,7200500,7543751,879276,25132877,11081966,92302,1.817,5080375,1350593,99.72
11:31:19.485401209,0.25,610773,16755458,9055521,1254014,28563368,11730257,109390,2.041,5359445,1434769,99.73
11:31:21.607592528,0.25,265409,7920281,5903426,570693,34270630,13463868,135947,2.186,6219932,1640107,99.72
11:31:23.659705479,0.25,90859,5094353,5022362,493140,36498733,14568665,138685,2.117,6551807,1785227,99.80
11:31:25.805400201,0.25,92207,5017739,5080588,514078,31370990,13380249,144545,2.372,6093499,1629515,99.72
11:31:27.906726356,0.25,87930,5075302,5119404,505763,28902872,12605490,114717,1.988,5771151,1546719,99.73
11:31:30.103062403,0.25,85562,5010751,5478913,595688,25786187,11043420,93261,1.841,5066376,1344147,99.73
11:31:32.164932030,0.25,89472,5092938,5149657,545282,24226557,10838413,91036,1.825,4988433,1329732,99.71
11:31:34.427077052,0.25,118929,5725306,5650143,544960,26257889,11325203,91102,1.759,5180101,1385314,99.72
11:31:36.479341638,0.25,117990,5512634,5251604,535638,24889363,10809396,87379,1.760,4963828,1314124,99.77
11:31:38.630265314,0.25,118935,5643043,5020690,502798,30719126,12795958,117254,2.023,5794705,1558819,99.72
11:31:40.721065429,0.25,113246,5628141,4914653,467507,27345039,11595626,103593,1.965,5272564,1409476,99.72
11:31:42.851013681,0.25,91718,4923031,4995757,489890,59457291,19455060,298422,3.278,9103801,2365415,99.72
11:31:45.018388730,0.25,100995,5571725,5740812,626781,53799803,16830860,263312,3.330,7907278,2023760,99.72
11:31:47.084091830,0.25,80067,4913198,5045627,487029,25371723,11877511,91358,1.696,5386611,1461369,99.72
11:31:49.341931874,0.25,93298,5170644,8252319,1195324,27299454,11851901,88792,1.639,5418016,1458641,99.72
11:31:51.477477150,0.25,90000,5141204,8102753,1069222,24691350,11029838,83952,1.681,4992765,1346321,99.72
11:31:53.601346258,0.25,105344,5500615,4769006,447714,24058820,11121888,91956,1.830,5025069,1350800,99.72
11:31:55.767346037,0.25,251549,7635773,5210466,491952,25920268,11250974,89230,1.765,5055248,1368066,99.73
11:31:57.884640703,0.25,242037,7295044,4945054,453029,25781461,11279297,90095,1.743,5167696,1375729,99.72
11:31:59.971416993,0.25,214145,7382385,5127004,498443,31943430,15057142,147191,2.136,6890033,1882281,99.73
11:32:02.066804098,0.25,80370,4921319,5823548,591508,26249156,11194903,89980,1.770,5084000,1371835,99.72
11:32:04.119383487,0.25,85117,5072618,5384526,558032,24955349,10863328,80549,1.634,4930409,1337932,99.72
11:32:06.231750972,0.25,110430,6042461,5007688,480815,24492609,11330819,85232,1.669,5105318,1399556,99.72
11:32:08.424630364,0.25,86525,4971837,5024542,482682,23505884,10416939,73178,1.533,4774292,1270046,99.71
11:32:10.507862057,0.25,86191,5118695,4958059,458253,23360410,10396567,75955,1.575,4822429,1261308,99.72
11:32:12.583134162,0.25,84009,4942279,4955653,475928,23919984,11265144,84611,1.681,5034616,1374125,99.72
11:32:14.712337016,0.25,75089,4924326,5381033,510450,24471607,11434481,86156,1.682,5121456,1398787,99.78
11:32:16.966630680,0.25,87634,4942785,6920682,720353,26715391,12244372,105754,1.906,5549922,1514363,99.72
11:32:19.054259131,0.25,88056,5057635,5411355,570510,23659365,10500423,74554,1.549,4813146,1285599,99.71
