horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
22:47:19.421155622,0.25,90744,2269046,3209716,996015,164222885,33403483,313087,2.395,13075108,6281126,99.65
22:47:23.144233126,0.25,104172,2361948,1112968,546836,104717301,21590730,381256,3.503,10885245,4537660,99.43
22:47:25.346758207,0.25,99675,2191791,1195667,590960,149827323,29419833,569898,3.821,14915913,5855705,99.59
22:47:27.225247745,0.25,119860,2581671,1368108,642048,101767915,23108183,419094,3.621,11575342,4839323,99.68
22:47:29.102872328,0.25,129528,3008728,1028141,523038,30836245,6896071,102497,3.432,2986787,1520307,99.40
22:47:33.045161495,0.25,129507,2631192,972778,502364,32584173,7104101,106907,3.488,3064718,1568279,99.47
22:47:34.927124248,0.25,101534,2203066,1046447,525192,34762617,7757011,121390,3.617,3356155,1690799,99.67
22:47:36.914174126,0.25,120300,3232545,2027651,825393,37715411,9341480,139460,3.314,4208054,2040564,99.68
22:47:38.806660344,0.25,86385,2020392,1157113,614731,220488956,48853403,1008093,4.440,22706890,10336915,99.58
22:47:40.673680541,0.25,109117,2466566,1197804,603487,38992734,9396759,135424,3.221,4204520,2054870,99.49
22:47:42.533874335,0.25,111031,2395274,1199840,608524,33093349,7227336,124517,3.912,3182926,1546912,99.65
22:47:44.395860452,0.25,369012,9086569,1157326,562266,38791563,8707487,140463,3.685,3812232,1881799,99.65
22:47:46.259760627,0.25,341034,7249591,1157547,588904,31411295,7205749,113433,3.647,3110384,1585054,99.20
22:47:48.125493365,0.25,237869,5651870,1273257,594707,31386105,7391992,108580,3.381,3211381,1625551,99.55
22:47:49.986467964,0.25,92488,2070100,3272809,1326019,35933738,8124837,123723,3.536,3498763,1763943,99.65
22:47:51.851818230,0.25,95774,2142957,1897941,1000637,37294552,8984937,123998,3.176,3903688,1936561,99.63
22:47:53.711796816,0.25,94991,2215769,1169191,625077,179490942,39630793,679325,3.316,20484886,7794414,99.55
22:47:55.642329954,0.25,251790,6690569,2975074,1331741,80858500,16478925,309483,3.844,8051998,3364878,99.70
22:47:57.520468912,0.25,332882,7812855,2873470,1232180,90271574,18982529,332594,3.739,8895381,3885414,99.46
22:47:59.397898214,0.25,94791,2109465,1077120,524369,34951717,8054557,124104,3.616,3432067,1759485,99.62
22:48:01.283412913,0.25,102756,2222279,1308551,634373,36787968,8934444,119603,3.096,3862576,1927150,99.58
22:48:03.135316726,0.25,128546,3148309,1139366,569424,31351924,7473765,104755,3.334,3141874,1633490,99.00
22:48:05.017365279,0.25,92706,2145790,1137286,590257,33318502,7226445,109241,3.529,3095454,1563706,99.73
22:48:06.875250258,0.25,86751,1988175,1363681,639976,34903409,7902011,119482,3.563,3353846,1742382,99.57
22:48:08.732137960,0.25,87286,2102519,1223748,587737,33639543,7531345,110892,3.492,3175592,1654962,99.61
22:48:10.652036471,0.25,179555,4855319,1126938,559508,31881726,7302433,108396,3.526,3074205,1593773,99.47
22:48:12.549037362,0.25,543612,20899036,4652891,1331183,40842394,10305864,142718,3.201,4458944,2246141,99.34
22:48:14.405408523,0.25,308048,7633226,1037620,489646,34652006,8216934,116887,3.416,3421836,1828007,99.52
22:48:16.288044627,0.25,87420,2029966,3085964,1339540,32297117,7597448,99078,3.180,3115857,1666891,99.56
22:48:18.143170245,0.25,248311,9883645,1511795,736391,34608462,8088241,109046,3.183,3425397,1787925,99.66
22:48:20.010355537,0.25,78152,1903093,1105087,525628,68086617,14213501,272416,3.948,6899658,2998789,99.59
22:48:21.876815515,0.25,74408,1857457,1107782,530704,68393268,14033710,278665,4.073,6841131,2868365,99.73
22:48:23.734758662,0.25,87236,2071080,1274884,566775,86386768,19729902,325130,3.330,9762891,4048166,99.48
22:48:25.864399108,0.25,207300,4530395,1064776,509931,31097244,7054337,100397,3.416,2939226,1534443,99.67
22:48:27.742074603,0.25,90398,2087408,1028537,499714,81447382,15539288,166968,2.707,6168494,3009759,99.46
22:48:29.629205034,0.25,112394,2825888,956174,445760,30103796,6800032,88819,3.100,2864910,1531519,99.67
22:48:31.488901905,0.25,97649,2174068,1091442,474193,31883258,7297386,100288,3.300,3038758,1621678,99.73
22:48:33.364184830,0.25,80693,1953591,1165740,554607,36407767,7616167,106429,3.308,3217673,1670957,99.58
22:48:35.255760763,0.25,87109,2047968,1239914,578584,69653235,15209013,243193,3.374,7207783,3190826,99.68
22:48:37.133135089,0.25,86243,2008518,993818,482273,26871209,6214494,81373,3.153,2580745,1412501,99.67
22:48:39.005489270,0.25,81377,2038277,6487153,1841840,465065206,107314276,2009238,4.097,49045621,22527951,99.30
22:48:40.866026428,0.25,408335,9130908,2914314,1371098,105329392,25662846,368999,3.103,11893414,5478410,97.77
22:48:42.748959614,0.25,229134,4570210,1041222,499461,28595451,6713360,87999,3.171,2775384,1514132,99.74
22:48:44.609523556,0.25,93248,2184777,2619493,1193371,29204593,6374201,89638,3.385,2648274,1375447,99.55
22:48:46.486531325,0.25,95796,2389839,2329812,1054118,36840125,9601242,125138,3.086,4054439,2175529,99.66
22:48:48.347706517,0.25,74191,1793613,1257602,583266,70952616,11992439,240895,4.104,5869940,2526544,99.67
22:48:50.219249871,0.25,102684,2541271,1080996,504243,91971753,24755832,530916,4.723,11240946,5308326,99.64
22:48:52.107312030,0.25,82568,1970782,1598331,630953,34421301,7544305,99424,3.172,3134853,1697509,99.64
22:48:53.976130952,0.25,98244,2503324,2975622,1188477,530644693,97475680,1789497,4.091,43746430,19306903,99.52
22:48:55.836000452,0.25,277135,5760919,1651981,670951,29531452,6929099,96666,3.373,2865512,1540215,99.67
22:48:57.693757327,0.25,81428,1954532,1037291,503141,26264230,6163681,77216,3.053,2529058,1391412,99.47
22:48:59.552264154,0.25,77819,1912325,4411423,1295842,125792354,23804928,229292,2.477,9256986,4570303,99.72
22:49:01.406361349,0.25,73621,1892863,1531225,629532,35475218,7597667,102920,3.286,3132061,1706534,99.45
22:49:03.277644514,0.25,85438,2087455,1305768,566535,29787794,6951739,90578,3.181,2847466,1564566,99.56
22:49:05.150916678,0.25,243160,4773368,1009273,469635,57919922,12536234,211168,3.643,5796427,2643155,99.55
22:49:07.029287181,0.25,234116,4489175,911720,431595,31838126,7569172,99202,3.106,3193811,1699939,99.55
22:49:08.913005864,0.25,79787,1914370,2080364,1002964,29399571,7141352,96605,3.253,2969703,1594147,99.56
22:49:10.825119264,0.25,91293,2136728,2301342,1090057,29041664,6660727,85662,3.135,2732448,1500983,99.54
22:49:12.684939223,0.25,120619,3508710,1950962,731538,29389327,6732423,89025,3.174,2804663,1493353,99.68
22:49:14.547488344,0.25,77832,1941286,983070,472414,415386882,72242619,792464,2.659,29802298,13512853,99.56
22:49:16.412389219,0.25,72552,1852962,1243115,546117,35428886,7688199,108468,3.365,3223006,1712382,99.70
22:49:18.278839798,0.25,116715,3122280,905515,431165,35314148,8591745,109478,3.011,3636155,1897432,99.61
22:49:20.169045771,0.25,95026,2214481,1169527,536802,31323047,6895519,88908,3.128,2842281,1556943,99.65
22:49:22.031535000,0.25,96804,2564112,991091,455971,29749618,6937702,88083,3.101,2840042,1577397,99.57
22:49:23.917593255,0.25,68838,1722390,2182701,993934,28192806,6688189,90658,3.292,2753574,1512349,99.52
22:49:25.790087512,0.25,241176,5768811,2921564,1321788,94295954,24611975,330316,2.945,11217731,5194894,99.50
22:49:27.647319302,0.25,81185,1987390,942566,446808,32060396,6879056,91793,3.250,2824178,1537923,99.57
22:49:29.503864231,0.25,81527,2022536,879702,414814,32141108,7194338,96696,3.252,2973473,1608284,99.75
22:49:31.376812248,0.25,231490,4494654,1331575,550535,31801773,7306105,92025,3.113,2956408,1614049,99.66
22:49:33.250804520,0.25,83474,2041346,1569421,608929,28327232,6739282,84699,3.070,2758526,1480835,99.70
22:49:35.103596161,0.25,75072,1874882,2659467,1097864,35348968,8864283,108781,2.913,3734907,1926666,99.55
22:49:36.975438540,0.25,68568,1794871,1123497,530394,30354053,7029434,86420,3.029,2852737,1557760,99.70
22:49:38.849094816,0.25,70671,1736865,1763163,766307,58638940,11846639,237222,4.094,5794152,2454155,99.64
22:49:40.735696921,0.25,78760,2031322,1138489,546400,61718861,13013640,259393,4.128,6284083,2626767,99.56
22:49:42.593060042,0.25,80840,1953900,1090334,491269,34287268,7270268,94482,3.202,2950937,1612505,99.57
22:49:44.448079263,0.25,202952,4752816,1084018,497569,30691954,7002942,90280,3.150,2865649,1559226,99.57
22:49:46.290117598,0.25,93057,2528966,960196,450166,29495259,6155921,78494,3.129,2508950,1373214,99.64
22:49:48.177221205,0.25,71626,1804215,1068930,494176,30037990,6731379,86207,3.122,2761606,1512101,99.63
22:49:50.047749137,0.25,75190,1866451,1060044,502255,27200047,6188995,80469,3.159,2547415,1393541,99.58
22:49:52.411394560,0.25,81125,2029134,891232,433131,26928291,6357634,77123,3.020,2554142,1450215,99.52
22:49:54.287852637,0.25,225224,5373925,981518,462069,238653810,52556575,935222,3.852,24278780,10640952,99.28
22:49:56.174071254,0.25,71235,1807842,969854,470179,27742911,6516579,81833,3.103,2637117,1457208,99.63
22:49:58.055968216,0.25,81284,2207926,1028456,490926,28728570,6749173,84667,3.061,2765852,1521039,99.65
22:49:59.913180121,0.25,69324,1701800,998002,476873,31957986,7214588,96795,3.237,2990010,1642246,99.64
22:50:01.768760265,0.25,217656,4173250,937349,431889,28123405,6468916,81942,3.113,2632060,1449477,99.66
22:50:03.645595293,0.25,129137,2845414,2159852,817606,68255888,14075921,224870,3.357,6699094,2886014,99.67
22:50:05.512954046,0.25,76936,1887803,2935471,1364234,32475822,7899705,100743,3.103,3246875,1777808,99.52
22:50:07.382458375,0.25,76133,1957647,2718927,1074435,30815527,7016220,87122,3.067,2840243,1561668,99.67
22:50:09.233954575,0.25,74709,1896167,895517,436756,462038512,88412838,1895234,4.600,41201161,17752015,99.65
