horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
10:40:20.286432308,0.25,1659401,51941135,1225292,631543,34786880,8346184,115597,3.210,3600747,1826736,98.02
10:40:22.164480525,0.25,99495,2213247,1093175,550563,95001114,18301880,356210,3.847,9259976,3744420,99.58
10:40:24.037830476,0.25,100565,2535508,1015456,510994,32788102,7417569,117430,3.653,3214518,1595058,99.65
10:40:26.032418451,0.25,104947,2364312,1001462,506090,35747448,7820891,125993,3.710,3396476,1715536,99.57
10:40:27.881822535,0.25,121303,2554409,1290363,609498,67763908,15186973,284744,3.860,7377068,3005394,99.40
10:40:29.746679433,0.25,106100,2301229,1036408,537049,32076370,7112545,109367,3.549,3081572,1573649,99.64
10:40:31.610402876,0.25,112491,2500087,3905763,1233555,28999388,6745850,100044,3.466,2886797,1505809,99.65
10:40:33.508675350,0.25,95948,2181042,1099884,554043,35620260,7154360,110322,3.548,3109089,1570647,99.64
10:40:35.403137416,0.25,90513,2031126,1022876,533550,33989309,7691587,118316,3.555,3328487,1676095,99.76
10:40:37.287624190,0.25,335668,7952424,1094409,552867,31758095,7165553,111570,3.590,3107917,1595870,99.67
10:40:39.188211589,0.25,331833,7249880,1241556,607263,30994703,7266868,113359,3.592,3155484,1625624,99.23
10:40:41.069234294,0.25,282245,5530761,2120043,707991,32557231,8719160,128244,3.437,3731811,1750916,99.69
10:40:42.930998357,0.25,117811,2943666,2413671,1141857,33476204,8270987,121081,3.497,3462606,1637094,99.65
10:40:44.808080813,0.25,101818,2192677,3081898,1354234,568700949,123998361,2348149,3.948,59473541,23994940,99.55
10:40:46.691122936,0.25,104180,2342788,1471637,673245,200821702,44226630,540901,2.690,20108698,8725423,99.52
10:40:48.579191405,0.25,260693,5629024,1144072,567440,80003680,15932312,305394,3.850,7931914,3281245,99.51
10:40:50.442549410,0.25,98322,2224269,1639712,696002,54711884,11373012,219212,4.015,5459363,2427437,99.75
10:40:52.456019722,0.25,93543,2156906,4334025,1340706,34670553,7538756,114311,3.534,3234570,1671059,99.55
10:40:54.335290381,0.25,99134,2246549,1133175,566303,39131897,9584241,137393,3.253,4224206,2091589,99.62
10:40:56.208139768,0.25,112545,2408571,1210042,607325,38385026,8992476,125263,3.172,3948912,1975930,99.65
10:40:58.069350065,0.25,95903,2205576,3055903,1360906,34396188,7830503,116906,3.531,3311186,1717780,99.65
10:40:59.939887791,0.25,98774,2221906,2192593,909636,36421255,10066530,121561,2.934,4143744,2377586,99.71
