horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
10:53:02.755106330,0.25,3572951,118965727,48177207,14827698,748983845,211876100,2182205,2.436,89585741,46623855,99.51
10:53:04.623568834,0.25,101806,2544475,1149763,588515,92549654,19313486,373568,3.830,9754498,3904083,97.86
10:53:06.503990059,0.25,99174,2280151,1185940,600514,33775473,7793144,122500,3.645,3361135,1703696,99.56
10:53:08.400070453,0.25,643893,15934134,1130496,581487,32746602,7284588,111004,3.504,3168374,1588913,99.47
10:53:10.266926683,0.25,102956,2286795,979030,505911,32865077,7318795,112178,3.532,3175999,1613345,99.50
10:53:12.112932860,0.25,101673,2345079,1162875,609524,32510596,7319546,112490,3.544,3174474,1601556,99.16
10:53:13.963850999,0.25,89469,2018379,1026512,536761,107028382,22175976,215840,2.450,8809962,4478207,99.70
10:53:16.581697146,0.25,100490,2236988,1038724,542602,36438511,8187977,127375,3.595,3543031,1803441,99.79
10:53:18.567058932,0.25,106226,2329089,1037263,526284,30286193,7146277,107390,3.499,3068814,1578601,99.58
10:53:20.441737679,0.25,109817,2313875,1537668,608859,35423247,8238639,129308,3.593,3598421,1796252,99.67
10:53:22.316775695,0.25,111384,2438180,1056980,540797,31060092,6364972,104187,3.713,2806375,1331668,99.59
10:53:24.209403167,0.25,101866,2405825,1027896,537818,33439624,7794496,114542,3.408,3361004,1641608,99.58
10:53:26.064428551,0.25,104623,2363189,1103517,551386,32442306,6945770,104652,3.507,2983866,1547933,99.56
10:53:27.947550002,0.25,3616508,69738264,1628904,802478,39737500,9062006,140813,3.640,3868258,1941138,99.64
10:53:29.828854253,0.25,143000,3716924,1682697,697959,32191621,7239359,111375,3.560,3128326,1584567,99.56
10:53:31.736102145,0.25,293775,5681646,1160810,585448,37340896,8003169,122970,3.550,3464022,1751607,99.74
10:53:33.594025626,0.25,118449,2671627,1501093,619704,57955117,15770354,221002,3.034,7283048,3469652,99.63
10:53:35.470013542,0.25,123718,3131327,2738502,1176514,31889173,7269222,109249,3.506,3116239,1602651,99.64
10:53:37.321414970,0.25,150823,3690847,1478184,737754,34079767,8604139,120740,3.288,3671883,1739406,99.55
10:53:39.183105297,0.25,104594,2316710,1071529,547004,86823466,17335598,319865,3.709,8624697,3608574,99.29
10:53:41.054561833,0.25,95360,2148755,1240902,610023,98184244,21951864,406409,3.782,10744506,4299420,99.55
10:53:42.908019744,0.25,103975,2238452,3263773,1371856,31587581,7546916,110049,3.396,3240189,1699714,99.65
10:53:44.769214362,0.25,93471,2086459,1247971,600349,31597120,7162140,107910,3.527,3059328,1576849,99.72
10:53:46.626130683,0.25,423172,19284786,1284689,617982,34518585,8057809,119852,3.480,3444124,1803622,99.71
10:53:48.617381882,0.25,193814,4023057,1038006,518856,54332417,13592096,220019,3.587,6134613,2969383,99.68
10:53:50.477726567,0.25,367514,8668714,2637023,1262446,97885989,19676761,322001,3.533,9115347,4027013,99.69
10:53:52.318460485,0.25,250057,5868159,2559934,1198912,58491298,11937926,207081,3.776,5484012,2487891,99.25
10:53:54.189489176,0.25,260421,6012771,3628831,1493346,74130143,15610168,258807,3.637,7116670,3209980,99.77
10:53:56.063495834,0.25,286588,6072666,1000248,505050,29903935,6837927,94142,3.293,2859200,1534693,99.43
10:53:57.960520790,0.25,259394,5264851,1227705,566689,29682978,6810384,95386,3.345,2851878,1503714,99.66
10:53:59.837898768,0.25,91362,2113965,2563645,1205245,32713763,8144363,104282,2.965,3517199,1789687,99.48
10:54:01.708476349,0.25,90348,2316850,2331809,1087181,30699162,6794171,92898,3.270,2840785,1512306,99.65
10:54:03.600709712,0.25,79231,1931448,1164008,531747,30015044,6993267,91589,3.186,2874313,1570699,99.67
10:54:05.481182388,0.25,79800,1877613,975128,472564,70901330,14014082,273799,3.980,6880054,2913706,99.28
10:54:07.367171302,0.25,86015,2021949,978448,461229,965285266,182353938,4017442,4.583,87651428,37064047,99.67
10:54:09.217929017,0.25,93198,2124457,980389,477805,37377163,8878893,112916,2.989,3778042,1986791,99.19
10:54:11.085793411,0.25,101146,2210868,1058675,513226,63939245,15032656,239400,3.315,7221384,3157993,99.55
10:54:12.954346343,0.25,77020,1859704,1646035,740306,31737244,7512826,102321,3.244,3154408,1662080,99.11
10:54:14.832372260,0.25,76281,1827433,1171128,590449,28792060,6478429,86464,3.207,2696321,1462722,99.64
10:54:16.700376649,0.25,70619,1756779,1284772,593849,316569610,57141478,489933,2.207,22203322,10462985,99.54
10:54:18.570371466,0.25,84006,2151970,1139884,542072,39705104,8785134,115207,3.120,3693119,1929333,99.27
10:54:20.437075659,0.25,82879,2002823,950947,445524,34418597,8126832,111989,3.335,3358361,1808567,99.57
10:54:22.305353430,0.25,235231,4350948,1048530,491332,30127457,6866549,91955,3.259,2821924,1522357,99.59
10:54:24.194616701,0.25,87825,2055956,1144278,510490,29769158,6895207,93795,3.286,2854635,1525816,99.53
10:54:26.043588247,0.25,82104,2010812,2070591,1022076,28517197,6715801,87070,3.136,2776478,1480734,99.57
10:54:27.911083232,0.25,744823,23240734,26801888,10818503,60838042,12261004,194519,3.726,5220055,2657026,99.66
10:54:29.782847155,0.25,98523,2573674,1439869,693984,69553985,14853506,285590,3.935,7256809,3122479,99.54
10:54:31.641021285,0.25,73563,1816209,2500049,1082026,88522941,20206204,340894,3.441,9908072,4302428,99.70
10:54:33.508411515,0.25,115317,3009105,954298,448265,37475272,8727591,118743,3.203,3706887,1938962,99.83
10:54:35.400043625,0.25,80243,1880830,1404069,603340,33998827,8052167,102807,3.043,3378543,1819299,99.52
10:54:37.270997738,0.25,86875,2058528,1043085,517797,89482199,18661072,188233,2.545,7395290,3785729,99.66
10:54:40.003161731,0.25,82602,1949680,1023228,528819,32963637,7843294,95664,2.945,3248751,1728602,99.58
10:54:41.870800245,0.25,224404,5137763,1081502,521316,69686552,13924528,266809,3.912,6820925,2923247,99.29
10:54:43.732554245,0.25,73283,1846638,963765,459825,31821436,7004120,95118,3.280,2899769,1590112,99.64
10:54:45.596342760,0.25,82136,1853579,954117,437729,30748252,7084969,94176,3.225,2919840,1568261,99.65
10:54:47.488289435,0.25,81967,2041598,919920,435882,837818305,160642947,3491851,4.687,74503450,32728570,99.33
10:54:49.360160185,0.25,236015,5525386,2209403,1022712,90817463,19525298,298335,3.397,8783453,3988711,99.75
10:54:51.249478325,0.25,247729,5654514,3217796,1289573,109341827,23605665,404558,3.544,11414079,4773910,99.56
10:54:53.076839263,0.25,357810,8705003,1073294,535255,34926866,8363726,108355,3.088,3509467,1889258,99.55
10:54:54.940560982,0.25,75040,1895122,1157384,522220,32037228,6880457,92433,3.239,2854030,1545501,99.58
10:54:56.806422054,0.25,241656,4909512,1501906,616603,29906219,6772974,88969,3.195,2785013,1548852,99.70
10:54:58.691231952,0.25,552332,20828464,956418,465800,50344195,15327701,183745,2.701,6803644,3358033,99.68
10:55:00.552661713,0.25,82661,1954488,906553,441551,31820584,7111164,96296,3.276,2939379,1565460,99.66
10:55:02.415832772,0.25,79149,1970841,2025784,981868,73194183,17045345,267774,3.380,7922986,3386141,99.66
10:55:04.291085628,0.25,74334,1898632,1443115,604632,27810354,6344929,82252,3.163,2600500,1419596,99.68
10:55:06.198909646,0.25,80385,2021079,966308,473371,71859654,16959697,303063,3.682,8230630,3553281,99.66
10:55:08.068307593,0.25,1389999,24556627,9883387,4271110,92011894,16875657,339270,4.207,8063584,3481606,99.57
10:55:09.957228509,0.25,67889,1675969,982937,459799,29521617,6669798,88557,3.237,2735698,1493214,99.73
10:55:11.853219600,0.25,219021,4903613,2110227,762702,28683974,6542455,84138,3.130,2688397,1459975,99.82
10:55:13.712400649,0.25,83049,2119386,3573755,1108822,247341483,43557378,372149,2.213,16816973,7831119,99.63
10:55:15.562323638,0.25,82127,2287355,1080334,506118,31130727,6807451,84349,3.071,2746290,1546086,99.56
10:55:17.432679884,0.25,69072,1753571,934377,453944,35763147,9254126,114917,2.963,3877979,2037088,97.60
10:55:19.313684367,0.25,75652,1874585,1147163,516223,31446673,6789603,91059,3.231,2817999,1533950,99.65
10:55:21.183412127,0.25,78968,1990167,848944,400869,76201717,19440913,297545,3.178,9362640,4079903,99.63
10:55:23.073541889,0.25,412087,9313681,1029273,498102,28357001,6537538,80284,3.027,2651878,1475483,99.54
10:55:24.940894135,0.25,250980,5071656,958926,453544,28217226,6593859,84188,3.155,2668551,1458300,99.68
10:55:26.820536016,0.25,82035,2070415,973182,470433,27592510,6166449,75995,3.012,2523083,1388541,99.67
10:55:28.852408111,0.25,119566,2745678,1114638,544640,27950472,6435616,83546,3.177,2629485,1441434,99.60
10:55:30.752484800,0.25,78821,1999608,2054848,1023235,28520168,6995104,83427,2.905,2871700,1578463,99.52
10:55:32.622997499,0.25,74159,1847851,2127811,1023059,33823488,7436345,92830,3.079,3015267,1650987,99.56
10:55:34.514047619,0.25,69542,1815842,8325798,2274278,168084329,28682806,366210,2.974,12312202,5412191,99.29
10:55:36.364724198,0.25,67790,1732775,963777,448739,71790085,14118361,263778,3.844,6862755,2958484,99.67
10:55:38.229787830,0.25,82270,2007013,923835,443277,28031163,6677700,84315,3.115,2706694,1486492,99.30
10:55:40.100289784,0.25,89780,2185111,1084097,463335,29668360,6677230,82852,3.080,2689610,1508919,99.31
10:55:41.971299155,0.25,280526,7254453,936427,429225,27539676,6327508,80094,3.075,2604711,1417029,99.26
10:55:43.870617543,0.25,83767,2216737,1036798,502153,27281430,6245932,78176,3.076,2541879,1407912,99.66
10:55:45.817547753,0.25,65929,1730233,1070031,537570,27210562,6234622,77729,3.064,2536734,1398803,99.65
10:55:47.692407298,0.25,78346,2015394,926854,443907,715317099,132451417,2799181,4.571,61236819,26829030,99.70
10:55:49.566097112,0.25,158280,3741646,2852472,1264943,66054798,14295998,205459,3.381,6076227,2990679,99.16
10:55:51.407261042,0.25,229927,5583779,2427917,1103033,83203910,16337502,251057,3.504,7164820,3404016,99.14
10:55:53.281592138,0.25,402208,8372866,1020429,488440,33358709,8387586,105449,2.999,3515631,1901772,99.67
10:55:55.137597453,0.25,82771,2087681,939073,452219,26736011,6237605,76962,3.017,2551217,1409058,99.61
10:55:57.004824527,0.25,81345,2007629,2059803,988913,29277239,6700835,85575,3.113,2749243,1500831,99.63
10:55:58.885454818,0.25,68157,1738369,1686150,867394,29758408,6989690,87613,3.079,2845063,1564104,99.67
10:56:00.748895499,0.25,252784,10340716,4927388,1381620,67539838,13562394,255824,3.899,6560780,2845498,98.00
10:56:02.612201908,0.25,73939,1852694,909391,421912,71443690,14965786,273242,3.831,7133239,3131889,99.65
10:56:04.477214536,0.25,81632,2062268,920784,435469,33531344,7441905,99778,3.246,3074145,1634542,99.60
10:56:06.338550878,0.25,75726,1910669,993359,457119,30177808,7077049,88959,3.098,2871667,1599926,99.66
10:56:08.236045205,0.25,1982794,34508930,6001832,2612233,58368526,11371474,176155,3.700,4761113,2433844,99.64
10:56:10.126282272,0.25,85435,2259178,973503,467718,27394953,6349097,77111,2.985,2583246,1447195,99.76
10:56:11.990859318,0.25,200833,4963847,1008935,488825,28557815,6335300,81850,3.145,2602357,1389083,99.60
10:56:13.862505124,0.25,69002,1797649,1442308,586098,38355709,9466214,122833,3.006,4086723,2042042,99.66
10:56:15.737777973,0.25,73219,1821524,899213,426316,269019769,47883069,424010,2.268,18695910,8918725,99.73
10:56:17.615055134,0.25,235968,4893630,888629,413062,31255807,7071921,90550,3.164,2861903,1591832,99.70
10:56:19.490251533,0.25,224885,4346905,793691,377807,29747575,6834476,85965,3.101,2772043,1554276,99.52
10:56:21.366691382,0.25,99112,2699303,928326,442042,27976732,6528786,79842,2.998,2662866,1503241,99.26
10:56:23.231740981,0.25,264855,6360792,1953144,965307,26345430,6037901,71744,2.929,2449648,1367777,99.64
10:56:25.108569733,0.25,76971,1989508,932472,438916,27947677,6667133,82872,3.041,2725271,1478039,99.67
10:56:27.014174506,0.25,79283,1993775,1028055,471948,71697485,13424441,254551,3.902,6523012,2805841,99.35
10:56:29.018430261,0.25,81542,2098943,984596,465713,61162929,12301232,236743,3.974,5956925,2569215,99.55
10:56:30.885186365,0.25,67172,1809013,933358,450132,48181297,11998644,191076,3.459,5524428,2604135,99.68
10:56:32.746504119,0.25,74871,1924169,2002715,895566,34477452,8010392,95359,2.878,3313673,1774916,99.50
10:56:34.624854855,0.25,76902,1922541,937219,409715,30297131,7133647,86570,2.983,2901998,1596157,98.11
10:56:36.496618572,0.25,72804,1875548,8527353,2295445,48306363,10952844,117114,2.717,4310261,2285514,99.56
10:56:38.811953064,0.25,74425,1880264,1363225,611526,28741039,6690401,82334,3.008,2737152,1514667,99.65
10:56:40.706778509,0.25,77368,1945741,992062,466078,30513506,7052725,87274,3.026,2884598,1578596,99.84
10:56:42.593344913,0.25,74004,1862516,910856,428767,68676799,13406590,204498,3.373,6063604,2860625,99.67
10:56:44.452102106,0.25,64240,1692049,936078,440663,30260143,7076561,86775,3.044,2851157,1599189,99.75
10:56:46.353553184,0.25,64906,1755288,1011525,485589,186331688,33454072,301843,2.331,12948537,6358217,99.39
10:56:48.213777076,0.25,242518,4696155,19980721,9044102,100781537,18955968,311651,3.769,8269243,4040452,99.67
10:56:50.102101164,0.25,206496,4938456,4184396,1651971,67035667,13713355,201448,3.430,5873442,2855504,99.63
10:56:51.936635253,0.25,452088,9693327,2706570,1243015,64698073,13286457,194299,3.394,5725430,2788977,99.57
10:56:53.780327142,0.25,134979,3306679,999471,461689,26785072,6381389,72534,2.820,2572140,1446406,99.66
10:56:55.675223740,0.25,71132,1795337,1885789,902817,30626559,6649894,79072,2.929,2699607,1493735,99.45
10:56:57.539784785,0.25,63610,1740084,2066194,962309,27267597,6394884,79139,3.052,2592787,1460758,99.50
10:56:59.425401504,0.25,63578,1703981,898210,436860,64613311,13814217,204304,3.338,6120670,2814404,99.65
10:57:01.326149542,0.25,71485,1898994,988299,465565,77506615,16234859,286149,3.602,7944078,3409399,99.38
10:57:03.201092953,0.25,169157,3946373,1165904,492391,31799646,7292108,93034,3.027,3073880,1589348,99.19
10:57:05.071671771,0.25,71573,1791145,877739,405161,27682119,6179825,78569,3.095,2538639,1366445,99.55
10:57:06.950344847,0.25,73960,1949531,943119,444973,27786737,6583400,82755,3.066,2698752,1484560,99.70
