horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
08:41:08.176178624,0.25,3669225,106787222,27915513,8601805,652512359,208030214,2221843,2.424,91673162,43574892,99.55
08:41:10.031076350,0.25,2220073,79365443,26246107,8763728,636978240,174126721,1950965,2.512,77678156,37910400,99.84
08:41:12.038083732,0.25,2843981,76681425,21320009,6390922,814641222,573137692,2431362,1.700,142995205,51905675,99.73
08:41:14.149611122,0.25,3690736,102934944,30831490,9803203,32172174,7332343,110483,3.492,3164023,1602248,99.60
08:41:16.019622302,0.25,102328,2418573,1238480,606780,36423315,8692972,132638,3.479,3812679,1860651,99.65
08:41:17.902843070,0.25,86030,2012005,1184301,596410,88983594,18190415,377043,4.090,9219222,3697271,99.65
08:41:19.784142664,0.25,117617,2776935,1125562,566464,46769990,10792198,194504,3.883,5009283,2365035,99.65
08:41:21.644953269,0.25,110268,2370266,883596,436281,32692821,7602382,114576,3.507,3267331,1655623,99.26
08:41:23.525176844,0.25,118553,2458270,1038809,520502,76804533,17506072,302303,3.547,8522434,3567733,99.70
08:41:25.393813853,0.25,327483,15431393,11187569,2984357,29984862,7039336,104524,3.473,3010032,1550345,99.61
08:41:27.263676439,0.25,113382,2661371,1164592,583840,34278529,7876868,106900,3.151,3392575,1735952,99.64
08:41:29.150865131,0.25,98629,2161249,1004906,491453,28985666,6760842,100254,3.433,2919879,1502591,99.63
08:41:31.048946461,0.25,91208,2123069,964879,462519,35400189,8237869,130886,3.651,3584738,1799643,99.64
08:41:32.921964982,0.25,313431,7241079,16534330,7449362,1465819255,319713878,5702948,3.719,153331553,62912510,98.93
08:41:34.822920724,0.25,314591,6256758,1076760,543517,32247634,7487674,111026,3.464,3204746,1656707,99.58
08:41:36.701130274,0.25,170938,3076035,1027692,512889,31768180,7020664,104097,3.449,3018548,1540241,99.56
08:41:38.557663313,0.25,123897,2841634,2906202,1290196,30990700,7082332,107900,3.536,3051577,1571467,99.75
08:41:40.433573322,0.25,113933,2905871,2446591,1194228,34623224,7975939,117331,3.399,3451822,1752215,99.58
08:41:42.275462679,0.25,115071,2532590,1260663,622446,151449500,32474554,615481,3.545,17363649,6544975,99.71
08:41:44.174393601,0.25,293720,6540410,1058156,551699,68476766,14046119,295238,4.161,7095859,2903025,99.66
08:41:46.051762763,0.25,258417,10585054,7300211,2012723,39212483,9462740,140153,3.380,4146930,2068422,99.54
08:41:47.910429833,0.25,101176,2313317,1092521,563135,44137747,10954849,157314,3.220,4885697,2380173,99.65
08:41:49.780963969,0.25,131415,2974454,1052269,558567,33018651,7776221,109101,3.252,3355011,1693727,99.49
08:41:51.628567781,0.25,111281,2466292,990029,507216,32176663,7757017,117569,3.624,3244170,1530955,99.59
08:41:53.498229475,0.25,5516583,96805333,1083704,541764,85318481,21522358,346378,3.351,10335600,4438854,99.15
08:41:55.379019516,0.25,504899,11124612,6591109,2730345,175065613,37770795,643784,3.683,17481658,7455217,99.58
08:41:57.244686556,0.25,484424,11005990,5641031,2444660,159016105,32325501,543200,3.705,14662949,6419797,99.49
08:41:59.102988668,0.25,654335,14640321,6573847,2662057,47214085,9414479,143515,3.566,4024331,2013382,99.42
08:42:00.964427800,0.25,95585,2194251,1059391,557755,37089571,8695363,122571,3.288,3727412,1901704,99.68
08:42:02.813371594,0.25,97179,2127491,3519396,1487425,32652245,7498086,104663,3.305,3166719,1671475,99.58
08:42:04.681465560,0.25,96304,2228130,1660782,815786,31598974,7152498,104387,3.445,3029862,1569552,99.64
08:42:06.559088640,0.25,96741,2248140,3234443,1021902,206176151,38443641,477518,2.885,16551603,7361267,99.55
08:42:08.406957459,0.25,89913,2105473,1314641,614010,45829840,9579808,183242,4.102,4466745,2017920,99.70
08:42:10.279037691,0.25,87841,2061682,1052238,506478,31801733,7560392,106263,3.302,3217783,1670662,99.65
08:42:12.145784150,0.25,153436,5255824,1061065,491902,30364833,6840818,94910,3.335,2845573,1505181,99.54
08:42:14.149443575,0.25,273770,6205935,1131033,518834,35229065,8088447,105904,3.125,3388771,1801689,99.55
08:42:16.046517970,0.25,89839,2112645,982186,470022,33224513,8189415,111097,3.223,3446862,1845936,99.67
08:42:17.939844322,0.25,78041,1939361,1235320,575334,35091207,7859437,108468,3.331,3256219,1715696,99.49
08:42:19.827991819,0.25,84198,1940180,1267519,591808,33352164,7476891,101193,3.291,3075264,1637169,99.57
08:42:21.688091826,0.25,78063,1857640,1723214,668113,199587122,34605488,299247,2.217,13499663,6370754,99.16
08:42:23.545510014,0.25,83459,2068639,977404,462847,60912127,13397999,244829,3.892,6290719,2730934,99.56
08:42:25.418165190,0.25,234326,4401132,1001946,485391,30005141,7119362,97599,3.328,2933070,1598225,99.49
08:42:27.278358318,0.25,340897,12694512,1065711,506701,29766983,7441834,94448,3.117,3030024,1532697,99.68
08:42:29.156908272,0.25,93931,2288875,1968979,990000,36472146,9040625,114134,2.950,3869515,2002908,99.79
08:42:31.046364901,0.25,74965,1885310,3014883,1232816,37950435,9195047,125007,3.277,3815080,2053638,99.62
08:42:32.907192738,0.25,416641,14560598,1079710,541562,1533126937,248467040,5641006,4.899,115137017,48306904,99.54
08:42:34.825853660,0.25,89174,2267955,947277,459183,62652794,12858221,263095,4.191,6277238,2686674,99.56
08:42:36.707491122,0.25,82522,1996776,976774,454360,112211517,21274087,346011,3.480,9942319,4364945,99.65
08:42:39.180425566,0.25,84317,2065196,2156319,1024178,30207225,7277949,96079,3.146,3053845,1615574,98.14
08:42:41.059487973,0.25,76873,1900723,1247466,576708,31083352,7028631,94241,3.251,2898573,1578676,99.54
08:42:42.944173141,0.25,226708,5150815,1036045,501564,71194426,16214104,302237,3.794,7966518,3447298,99.71
08:42:44.810109914,0.25,78661,1924425,1039589,500839,71708877,14496889,277130,3.898,7109372,3090768,99.56
08:42:46.674181127,0.25,84588,2020051,1253330,543247,44272483,10575802,133013,2.933,4535799,2330901,99.63
08:42:48.562279919,0.25,102087,2475718,1044761,479526,31498684,7316570,98775,3.282,3009538,1655921,99.83
08:42:50.432034112,0.25,81620,1920305,1134963,530050,31283673,7375926,98899,3.257,3036745,1680524,99.71
08:42:52.313732869,0.25,119152,3342694,1158522,549131,78221753,16921464,266905,3.254,8203082,3532213,99.64
08:42:54.185629614,0.25,532148,12182988,1647184,767019,64907545,14269730,204540,3.296,6205156,3033599,99.27
08:42:56.039952604,0.25,201422,5128289,2890103,1292475,77718669,16456821,256999,3.598,7143663,3401999,99.59
08:42:57.921097589,0.25,482275,12318989,6978127,2817095,139909286,29632444,459385,3.538,12985938,5916806,99.57
08:42:59.753781856,0.25,537508,11881141,5029149,1914085,34393553,8307024,104753,3.046,3439434,1836550,99.66
08:43:01.603390678,0.25,114190,3114075,1045384,492699,29380049,6907630,92034,3.233,2847018,1548622,99.55
08:43:03.549554625,0.25,84027,2055547,2036887,1015344,66787578,16043260,252884,3.405,7425795,3324529,99.66
08:43:05.421194879,0.25,76151,1878136,2091618,1003393,30870865,7155624,92366,3.137,2944524,1606069,99.56
08:43:07.280789501,0.25,76292,1680626,1235022,536868,33061046,7039564,96041,3.274,2933401,1538316,99.67
08:43:09.157258386,0.25,76073,1883964,950411,457960,63381366,13264144,262873,4.058,6477317,2801998,99.53
08:43:11.037855632,0.25,64851,1698779,940999,454055,36360002,8004453,107103,3.183,3364445,1774648,99.71
08:43:12.912535590,0.25,250763,5911323,3376234,1033210,948031650,164589687,3144057,4.279,73477375,33052014,99.56
08:43:14.933982890,0.25,85069,2199167,1040446,509976,29471154,6670324,89823,3.274,2743552,1496328,99.60
08:43:16.778731831,0.25,80512,1943268,980450,463451,26563951,6231417,80643,3.165,2547592,1397355,99.64
08:43:18.637553907,0.25,134066,4644080,3253395,982042,33100584,8211434,101817,2.974,3424113,1821523,99.63
08:43:20.472814595,0.25,86711,2349190,984886,484798,32912059,7960861,99742,3.057,3262911,1625799,98.05
08:43:22.320804107,0.25,82991,1954579,951729,442496,64387222,13798635,230298,3.438,6697947,2860627,99.55
08:43:24.195953494,0.25,208462,4690343,1033570,478359,42296213,10966512,147397,3.084,4780084,2400684,99.64
08:43:26.056972133,0.25,224748,4309577,1250283,538824,30982399,6520771,87909,3.265,2692506,1425005,99.54
08:43:27.949785342,0.25,231017,4349120,981993,458175,29649911,6879352,87082,3.131,2781156,1533862,99.64
08:43:29.814244924,0.25,76456,1876104,2622667,1023726,28543505,6559993,82727,3.073,2691968,1479764,99.76
08:43:31.698177222,0.25,72681,1849780,1968012,967778,28443875,6783134,87164,3.178,2742948,1498830,99.68
08:43:33.549456410,0.25,476177,8633898,51794654,21532058,328177476,55604009,537414,2.444,21986018,10239872,99.38
08:43:35.464843947,0.25,70809,1825964,923970,460736,66274091,14328297,273733,3.937,6953506,2980709,99.66
08:43:37.369941961,0.25,68169,1680452,947337,430105,62478472,13896783,267857,3.966,6753069,2904520,99.82
08:43:39.258217103,0.25,101087,2850935,8304195,2163129,30999996,6887931,91118,3.207,2841077,1551045,99.47
08:43:41.117473230,0.25,78940,1920824,876785,419507,31448612,7231189,93755,3.192,2937646,1600500,99.51
08:43:42.995668815,0.25,233481,5661822,961835,463188,30620706,7271312,87247,2.960,2947402,1637315,99.50
08:43:44.852327874,0.25,78202,1974788,975904,471895,31630551,7458182,96296,3.166,3041384,1665205,99.55
08:43:46.714216185,0.25,69261,1796421,946774,441868,29182591,6743940,86442,3.150,2744523,1507884,99.76
08:43:48.599715692,0.25,82848,2236854,918666,454977,30047294,6957879,93364,3.276,2849937,1575619,99.66
08:43:50.563350845,0.25,68083,1739586,1040001,478746,31157985,7146623,94266,3.219,2928396,1609572,99.65
08:43:52.421094903,0.25,90270,2400384,1289037,575908,51565372,10808240,155672,3.151,4939964,2299986,99.44
08:43:54.320236094,0.25,542542,11441458,11492691,3108981,122847128,26545940,388781,3.449,11272879,5352532,99.16
08:43:56.168918193,0.25,395012,10130452,5521589,2237213,120052427,25632742,377398,3.462,10901092,5118398,99.64
08:43:58.045180923,0.25,246446,6084084,6026681,2619125,55067391,11977384,168823,3.336,5060687,2378944,99.56
08:43:59.906124011,0.25,67720,1726939,1664468,838341,28762184,6671034,81569,3.035,2687784,1508239,99.50
08:44:01.743418121,0.25,74134,1881997,1149522,531120,64910840,13290975,255695,3.990,6407723,2789898,99.66
08:44:03.606881175,0.25,70997,1864098,878101,428913,68638613,15337164,288709,3.993,7230941,3170443,99.51
08:44:05.452404712,0.25,75472,1917570,985903,452217,30239989,6943334,88203,3.118,2829266,1568941,99.64
08:44:07.325966930,0.25,83292,1917315,1232171,513159,28675380,6934381,89414,3.130,2856395,1535321,99.68
08:44:09.194464742,0.25,76971,2147381,1059606,503800,127183005,25265009,230286,2.335,9862967,4853869,99.75
08:44:11.048097293,0.25,65439,1745563,1023560,491921,31680121,7235864,88717,3.031,2927390,1625744,99.57
