horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
10:09:44.662368837,0.25,3776689,124169013,64921573,22699398,1347982072,281369818,3260870,2.640,123524112,55367203,99.69
10:09:46.539928586,0.25,2517865,69085382,29733676,8489394,661941979,188825651,2381051,2.534,93970782,38101045,99.60
10:09:48.377728874,0.25,1585647,54781088,33106850,10095263,992859959,221013231,2669544,2.619,101912487,44900263,99.64
10:09:50.394416536,0.25,4429902,102059990,34332224,8876421,532202624,182385606,1726979,2.229,77478965,40803711,99.35
10:09:52.257852566,0.25,3565319,101712634,42568500,11499764,1308319949,315454477,3934572,2.804,140309616,65840160,99.80
10:09:54.118705897,0.25,101978,2386227,1361187,632955,35126698,8239953,129047,3.638,3547326,1806919,99.50
10:09:55.983265027,0.25,110360,2396524,1079806,536623,33855661,7818861,118311,3.519,3361716,1683364,99.50
10:09:57.833445943,0.25,98575,2199191,1315782,596646,32442742,7084094,106572,3.498,3046565,1550757,99.66
10:09:59.733956500,0.25,100098,2284392,1065900,538836,34008115,7539619,116712,3.586,3254338,1630613,99.82
10:10:01.615225716,0.25,678824,16614540,1237632,625096,33926637,7682024,122612,3.693,3320256,1698089,99.64
10:10:03.480401881,0.25,100672,2271348,1105493,534892,32644600,7015642,109685,3.609,3039201,1535152,99.58
10:10:05.906333336,0.25,104589,2333985,973669,496976,34036286,7853494,114395,3.362,3402965,1725084,99.75
10:10:07.756368886,0.25,97554,2256639,1035992,522681,32978018,7353119,115759,3.628,3190803,1625453,99.66
10:10:09.637476365,0.25,108781,3174314,61041370,23965148,443829368,112965332,1889760,3.259,57992500,22830021,99.66
10:10:11.510192954,0.25,341271,7127472,1081828,545777,35364678,8142966,119061,3.350,3554097,1781712,99.68
10:10:13.373768215,0.25,367633,8204983,946008,476948,34545310,8262406,119620,3.333,3588772,1819898,98.23
10:10:15.228340695,0.25,90819,1990690,1679447,708763,34473735,7482028,123494,3.780,3267240,1598835,99.56
10:10:17.104845241,0.25,124141,2946567,2611677,1220531,32382348,7375418,112358,3.551,3164092,1632281,99.57
10:10:18.998378101,0.25,103944,2267183,1299693,660136,35007321,7512466,110299,3.448,3198558,1659120,99.58
10:10:20.861558790,0.25,111578,2364799,1176531,563702,145908654,31236074,581326,3.492,16648372,6219439,99.57
10:10:22.754885967,0.25,251402,5511547,1061300,535347,87827322,17419285,322477,3.684,8752974,3636629,99.62
10:10:24.610445113,0.25,103441,2277679,1379581,666139,332004128,57368007,507897,2.285,22231828,10402978,99.65
10:10:26.522908195,0.25,111002,2465183,1910163,795616,33999317,7498583,110316,3.434,3212881,1642209,99.49
10:10:28.398225179,0.25,100533,2295333,1262823,574329,32903491,7521126,112463,3.479,3232334,1646700,99.76
10:10:30.312452797,0.25,922554,18443200,2279433,1029863,80213502,19267110,275035,3.126,8797874,4153316,99.69
10:10:32.189980620,0.25,204366,4644898,3112454,1436830,146989584,31048821,523969,3.475,15079842,6207659,99.49
10:10:34.060548465,0.25,243252,5332263,3063887,1389122,70807868,14571434,238750,3.624,6588887,2973898,99.48
10:10:35.904160645,0.25,366326,13708559,3230974,1401059,90310656,20953743,323712,3.312,9774000,4371764,99.75
10:10:37.744228769,0.25,408746,8629987,2983733,1334427,83298262,17530587,295096,3.636,8115408,3554546,99.65
10:10:39.603405429,0.25,328288,7414556,1236523,595975,31673894,7272647,101321,3.267,3101037,1599406,99.60
10:10:41.458570479,0.25,96304,2205874,2682173,1250463,32795451,7613011,110781,3.418,3241285,1660781,99.76
10:10:43.325192989,0.25,98734,2340333,2570799,1163319,37769234,9023158,132224,3.345,3952983,1992011,99.69
10:10:45.197501642,0.25,82325,1943890,1197114,573055,311434161,56931374,616820,2.624,23504970,10756693,99.55
10:10:47.050022734,0.25,87090,1976601,1289427,583117,73972416,14320895,287113,4.110,6984893,2966242,99.64
10:10:48.914857642,0.25,98562,2229714,1094013,493060,37947501,9219206,123709,3.120,3965073,2012094,99.50
10:10:50.798850502,0.25,118912,2661162,6648710,1875871,30195467,7126627,98370,3.349,2937539,1579147,99.71
10:10:52.663435311,0.25,108709,2429660,1098027,517246,30223356,6906048,95139,3.301,2881742,1523635,99.56
10:10:54.515248825,0.25,94537,2288785,1122652,561592,31963413,7388246,101828,3.293,3092323,1623471,98.69
10:10:56.386228499,0.25,78239,1885416,1243742,602102,29291914,6670430,90288,3.271,2760280,1487022,99.57
10:10:58.273845519,0.25,78874,1976033,1108412,519525,36259927,8217598,119556,3.500,3415777,1790882,99.60
10:11:00.142315661,0.25,86776,2027834,983996,477223,36533964,8194661,117631,3.439,3420029,1786912,98.99
10:11:02.025894316,0.25,239585,4762479,907093,437614,61728712,13924973,229534,3.553,6460949,2906432,99.65
10:11:03.902983923,0.25,535224,9321183,915723,427551,29999387,6601260,92072,3.335,2760721,1430120,99.65
10:11:05.772047443,0.25,92474,2273399,2464714,1103829,31289803,7267442,97045,3.219,3014897,1631431,99.66
10:11:07.659794651,0.25,83956,2023935,2393158,1069411,27105405,6465706,85185,3.215,2649566,1447213,99.67
10:11:09.532943935,0.25,72239,1841926,4035846,1799725,1364951106,228919547,5194048,4.863,106816341,45008376,99.55
10:11:11.454293050,0.25,172390,6584917,7611952,2054777,412372657,71001391,675738,2.380,28387333,13022808,99.06
10:11:13.313834012,0.25,76244,1846000,1146420,514395,73438001,16120278,285229,3.677,7756344,3408650,99.77
10:11:15.198196574,0.25,80151,1931471,967047,448702,30872048,7042189,100459,3.423,2934784,1577020,99.50
10:11:17.048949050,0.25,86042,2016981,986344,474850,34419535,7798874,104989,3.282,3199035,1732167,99.66
10:11:18.930419319,0.25,93209,2164184,1095291,497128,32366065,7811974,99717,3.078,3239565,1750884,98.63
10:11:20.805866595,0.25,96318,2161022,973480,480773,27914972,6507217,85732,3.200,2679201,1465251,99.16
10:11:22.680179921,0.25,167673,3978661,1433524,647528,31801036,7013983,91951,3.182,2889584,1570934,99.74
10:11:24.575764253,0.25,74289,1777776,1321690,585220,40991187,10866708,141937,2.996,4737883,2441667,99.65
10:11:26.454949489,0.25,71048,1814532,7567840,2110708,120077846,22383029,212055,2.423,8752798,4207172,99.66
10:11:28.307551905,0.25,227904,4419589,1121432,541810,31841980,7549730,98446,3.097,3178503,1680858,99.68
10:11:30.175641428,0.25,3713486,64427322,5326835,2190335,106673968,21826716,328056,3.407,9627931,4501441,99.17
10:11:32.067157097,0.25,294851,7392719,3891648,1697118,118594561,24794858,403203,3.506,11501584,5016394,99.29
10:11:33.959685080,0.25,254912,6306553,3829012,1660437,72220352,15102749,225794,3.425,6591890,3175754,99.55
10:11:35.841403486,0.25,164582,3936499,3415760,1441763,95017756,19706538,294375,3.305,8907553,4108779,99.24
10:11:37.706307952,0.25,219342,5348726,2220704,1010246,62781831,13976565,273132,4.119,6630558,2764254,99.74
10:11:39.582288494,0.25,72264,1779243,1036165,514244,65641115,13176742,257341,4.029,6387212,2770854,99.45
10:11:41.441549181,0.25,78361,1927459,988829,471547,34374121,8061107,108035,3.213,3362233,1822516,99.53
10:11:43.306041000,0.25,83269,1916575,2313751,765122,32389212,7616062,102263,3.186,3210019,1702351,99.57
10:11:45.186176763,0.25,80454,1999027,1858342,668147,30706113,7049100,90321,3.127,2888615,1603706,99.55
10:11:47.050831329,0.25,74576,1895596,2250861,777179,311148085,56893110,455262,2.103,21645046,10233872,99.42
10:11:48.916319413,0.25,84803,2086002,1120173,535341,28620491,6477675,85167,3.193,2666975,1455492,99.78
10:11:50.916130437,0.25,390591,8179682,1015746,480994,102252578,27164752,395071,3.037,13006652,5465654,99.65
10:11:52.785548824,0.25,273413,7109771,4273848,1307179,32407008,6881656,98493,3.421,2879303,1485032,99.49
10:11:54.646840204,0.25,74738,1859718,1179710,520020,33796996,7502923,99674,3.237,3079365,1670428,99.53
10:11:56.532294916,0.25,220164,4225307,1116462,531065,31355154,6854351,89763,3.145,2854368,1537984,99.13
10:11:58.414680295,0.25,331701,14364562,1068508,493618,29458050,6807310,89828,3.220,2790115,1508050,99.76
10:12:00.283875619,0.25,97423,2666439,2053489,1001372,29591137,7134183,94352,3.210,2939142,1615558,99.43
10:12:02.164932998,0.25,65804,1624002,2194013,987556,62525290,14115676,222027,3.447,6441829,2927510,99.63
10:12:04.025780808,0.25,75030,1902414,958257,439756,62393246,12858038,247033,3.954,6247943,2629373,99.46
10:12:05.908158505,0.25,78908,2019745,900767,421564,63095340,12792689,251677,4.058,6201772,2697160,99.59
10:12:07.769489362,0.25,82323,1978889,926776,434744,39115566,9208365,118471,2.997,3952485,2002132,99.59
10:12:09.652784535,0.25,91341,2328373,900142,409805,1073863950,183160932,3994662,4.712,84776912,37181977,99.65
10:12:11.564513525,0.25,295264,7089016,841362,402058,28091350,6960960,86744,2.948,2942249,1543019,99.67
10:12:13.438313737,0.25,70966,1810284,12936865,3325734,32285853,7654461,96758,3.030,3193110,1722206,99.63
10:12:15.311398635,0.25,82041,2251009,1054360,504169,27368531,6571404,82650,3.090,2674834,1478877,99.57
10:12:17.171607487,0.25,67636,1792445,967092,451097,28378223,6579826,84050,3.121,2692721,1477856,99.62
10:12:19.025454172,0.25,79764,2302495,4434869,1296242,30017879,6803517,92648,3.285,2819982,1530990,99.44
10:12:20.894714461,0.25,143199,2998148,935505,436548,63688517,14958158,229519,3.210,7150307,3100274,99.50
10:12:22.764422591,0.25,393761,8653423,1346423,470679,29152969,6786029,85402,3.080,2772803,1534391,99.59
10:12:24.628682578,0.25,84593,2207996,921501,426395,29203982,6635743,85388,3.156,2705181,1502541,99.58
10:12:26.497939232,0.25,77164,2032962,1932648,952683,28958896,6673690,85925,3.159,2719939,1503517,99.64
10:12:28.366511532,0.25,70450,1834173,1056512,468500,34250587,7914954,95644,2.920,3275816,1781563,99.73
10:12:30.246521292,0.25,451776,8250756,41293759,18887156,173411029,32588386,612223,4.060,15080064,6631729,99.23
10:12:32.120989030,0.25,210867,5062170,2972067,1270179,145334081,30206127,542138,3.700,14650859,6162754,99.50
10:12:33.962173194,0.25,194597,4701597,10137279,2805587,80013007,15839251,234824,3.439,6828681,3231907,99.53
10:12:35.830455058,0.25,208241,4728975,2124280,989486,67059841,14905239,209535,3.286,6377459,3115632,99.22
10:12:37.669962381,0.25,160116,4013027,3298917,1375175,28503957,6384141,80104,3.074,2605465,1444354,99.43
10:12:39.539916907,0.25,64435,1695799,1298686,553591,29060088,6382543,80037,3.092,2588251,1420950,99.45
10:12:41.399137068,0.25,67726,1707537,2117495,930340,29507958,6964029,93188,3.215,2898786,1582422,99.71
10:12:43.282510144,0.25,67443,1729316,918534,442466,30392669,6941066,89130,3.114,2861976,1553369,99.27
10:12:45.173272824,0.25,69106,1774848,925037,409414,29280511,6852773,87011,3.164,2749599,1551105,99.67
10:12:47.046136080,0.25,209732,4057523,942067,447807,30074351,6641784,90613,3.323,2727129,1482726,99.54
10:12:48.908333807,0.25,78818,1958228,894274,417297,235285869,42418940,365389,2.245,16275906,7893890,99.58
10:12:50.784773275,0.25,3394341,56295523,5763014,2736965,29723450,6801953,84797,3.068,2764244,1501770,99.54
10:12:52.663992728,0.25,89749,2196263,2129261,986292,28494926,6533761,82578,3.102,2662302,1473937,99.48
10:12:54.538695061,0.25,141249,5208700,2270375,779060,58633025,12011618,236387,4.032,5863321,2540793,99.51
10:12:56.381171224,0.25,71596,1999196,906472,448350,64263877,12548643,240712,3.936,6116275,2630835,99.62
10:12:58.281898226,0.25,71496,1776263,894211,415556,31626089,7312540,94877,3.212,2953816,1646919,99.57
10:13:00.148484424,0.25,76520,1897673,845911,398073,32343260,7212546,90808,3.084,2944742,1615617,99.58
10:13:02.014945158,0.25,67311,1746737,896165,422041,55813385,12343761,197768,3.559,5556763,2570820,99.67
10:13:03.877199739,0.25,69846,1794033,1007206,478816,28064256,6417211,82230,3.128,2628969,1453401,99.64
10:13:05.755215891,0.25,69967,1747997,904646,433497,26505745,6075021,74831,3.044,2458336,1371824,99.66
10:13:07.610880462,0.25,286512,12190819,954964,443103,29229566,6338924,86544,3.309,2615074,1398401,99.56
