horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
11:30:54.834695936,0.25,1387634,44551997,1003080,506450,32905434,7611376,114488,3.501,3270601,1657306,98.54
11:30:56.709788049,0.25,100774,2189118,908609,455104,90851512,18372324,381864,4.072,9378631,3792991,99.63
11:30:58.569888124,0.25,95957,2124064,1032182,503170,31944941,7517777,114099,3.512,3248634,1659911,99.67
11:31:00.579098350,0.25,2063526,51098715,3354463,1592951,129696326,29755420,534025,3.852,13862157,5820629,99.34
11:31:02.485319282,0.25,126761,2698621,1041301,520943,31162244,6942112,107754,3.582,3008200,1522500,99.67
11:31:04.377386671,0.25,110131,2345514,1132596,526718,30290301,6929947,104242,3.495,2982494,1516448,99.67
11:31:06.250744414,0.25,97295,2139677,1549381,686216,31398786,7041661,105323,3.482,3024639,1543321,99.64
11:31:08.132707832,0.25,102561,2397204,1140866,580043,32270072,7574850,113610,3.449,3293534,1639447,99.67
11:31:10.005636709,0.25,320577,7240606,998501,519974,32990488,7358915,113876,3.563,3196131,1613581,99.64
11:31:11.882200098,0.25,92926,2103630,957256,471521,35483748,8470923,126812,3.429,3698086,1841032,99.56
11:31:13.754345301,0.25,160091,3448389,1034287,533596,33868007,7416336,118281,3.676,3218082,1625979,99.63
11:31:15.642735446,0.25,315950,6054232,1031026,518885,33569436,7683108,116181,3.506,3313742,1696483,99.43
11:31:17.524083173,0.25,120416,2640054,1013819,508840,29114433,6583193,94191,3.366,2798275,1460343,99.63
11:31:19.406984373,0.25,132366,2992694,2483494,1139752,1319875183,184821492,4022014,4.831,83258475,36583591,98.78
11:31:21.428216744,0.25,479898,10286956,4411999,2144516,33854878,7951425,115444,3.335,3461746,1734686,99.00
11:31:23.270079058,0.25,112427,2635258,2164171,993907,62933337,13114074,151140,2.825,5350025,2707510,99.03
11:31:25.154178865,0.25,93474,2094634,1172528,605091,73910146,14874075,302351,4.043,7477721,3088477,99.57
11:31:27.031279299,0.25,95835,2252416,1058462,515358,76643709,15414561,307000,3.992,7691216,3123827,99.64
11:31:28.918487800,0.25,102631,2315108,1060960,538222,41411286,9275428,133345,3.355,3974042,2010458,99.66
11:31:30.819222840,0.25,102954,2222033,1044785,519585,35603771,8011894,118534,3.506,3381181,1730667,99.09
11:31:32.681243896,0.25,107512,2363925,1020949,511698,31733055,7114675,101672,3.360,3025587,1589542,99.63
11:31:34.555024504,0.25,97217,2177045,1328834,652733,34646366,8188403,120105,3.360,3574423,1804427,99.61
11:31:36.399529511,0.25,92914,2210514,1461669,672396,29752868,6776403,95210,3.339,2851520,1493687,99.64
11:31:38.268406787,0.25,97975,2289707,1081054,535171,32320041,7236768,110876,3.593,3085633,1579600,99.24
11:31:40.142495725,0.25,778717,14171592,62008538,24374970,1736860089,218365222,5166961,5.198,99396622,41512494,99.34
11:31:42.096713461,0.25,295893,5983943,4545931,1840130,73116607,15745635,267463,3.698,7233005,3258558,99.30
11:31:43.953865083,0.25,412758,8837892,3076069,1388030,80154966,17134901,287301,3.651,7868441,3445974,99.13
11:31:45.823142144,0.25,257325,6108783,2910408,1293949,83329528,20720985,314609,3.267,9631209,4389370,99.63
11:31:47.831944755,0.25,187999,4299571,2718230,1249979,98458188,19604461,297741,3.342,8908248,4033131,99.57
11:31:49.709741604,0.25,110518,2704374,3112283,1272295,34536974,7942575,109095,3.306,3299891,1718991,99.67
11:31:53.014978517,0.25,81296,1902401,1081740,520069,37667968,9258120,119716,3.003,3987130,2038771,99.37
11:31:54.903623715,0.25,87582,2051954,1054121,493984,33879736,7831266,104650,3.215,3255251,1720130,99.67
11:31:56.774184561,0.25,82305,2031007,982013,484988,34345795,7528314,102368,3.306,3096576,1659107,99.42
11:31:58.648048619,0.25,81482,2046471,966774,470400,31321219,7302395,99244,3.271,3033751,1625694,99.57
11:32:00.525203097,0.25,3217332,56953849,64013113,25637326,720501737,102900031,2250728,4.766,47225951,20562325,99.67
11:32:02.486775690,0.25,94529,2366155,1028138,488976,31064797,6917681,100471,3.456,2907333,1544374,99.73
11:32:04.360578067,0.25,89998,2188691,948339,450938,33275703,7972867,104616,3.047,3433197,1772161,99.62
11:32:06.241745735,0.25,231011,4332507,1065444,504824,32612164,7265898,100739,3.309,3044393,1601646,99.64
11:32:08.119946115,0.25,108223,2605070,988980,480803,39590870,9825503,116817,2.779,4203847,2219589,99.73
11:32:09.991035209,0.25,318796,7983128,2208635,1087882,33326651,7487065,100433,3.234,3105714,1647696,99.64
11:32:11.866749900,0.25,82705,2007596,2026513,991192,129252902,25940901,247620,2.418,10239069,5128159,99.74
11:32:13.775503695,0.25,80098,1981313,1027068,493551,33410975,7803999,102380,3.184,3215053,1723173,99.75
11:32:15.684500954,0.25,72233,1884481,1074904,504744,77485112,17244904,310034,3.744,8280974,3466194,99.74
11:32:17.559581321,0.25,87843,2127409,3786471,1135401,95339029,17264518,318286,3.918,8124031,3412109,99.55
11:32:19.435168956,0.25,89316,2206330,1557432,699614,37625186,8820436,117681,3.133,3756610,1921354,99.66
11:32:21.491924277,0.25,182232,4161748,2408866,1090643,62143523,13474518,204471,3.529,5794536,2902455,97.99
11:32:23.413771113,0.25,100800,2296063,955119,456371,34352329,8610840,101700,2.804,3627574,1895528,99.55
11:32:25.296393893,0.25,92402,2396958,901975,436970,33031068,7250013,97236,3.251,2990658,1602105,99.64
11:32:27.159181469,0.25,83860,2038998,1142077,558123,31673630,7406283,95910,3.125,3069287,1657363,99.54
11:32:29.013130320,0.25,74823,1884094,1207392,605650,31205037,7333859,94609,3.141,3011766,1636926,99.67
11:32:30.878114523,0.25,83584,2042680,962244,466860,35350644,8215032,111800,3.293,3394847,1788788,99.58
11:32:32.732259797,0.25,75136,1908826,4588381,1317991,197013667,35718260,328950,2.360,13939480,6675103,99.73
11:32:34.569868794,0.25,239683,4425214,951558,464476,30819458,7221668,93386,3.141,2972956,1643049,99.64
11:32:36.445255867,0.25,236315,4463282,1016494,474729,27268240,6543119,81073,3.005,2698329,1482262,99.42
11:32:38.306208245,0.25,75013,1824515,2020548,996205,37848655,9375595,114649,2.877,3985084,2062620,99.64
11:32:40.161476941,0.25,79446,2121858,2177087,1085321,1773039288,224531470,4953182,4.933,100409024,42560188,99.80
11:32:42.258172822,0.25,196715,4493239,5742052,2247174,63852144,13328823,193453,3.374,5733221,2770868,99.74
11:32:44.109360938,0.25,193887,4705985,3135014,1288158,79099554,16087529,245263,3.497,7012776,3280994,99.24
11:32:45.961260333,0.25,199892,4739120,2352284,1050921,107564755,20935814,395509,3.974,9953442,4270557,99.18
11:32:47.851646909,0.25,203752,4967502,3116949,1294846,102494008,22721072,325296,3.173,10250780,4737862,99.60
11:32:49.694861006,0.25,209000,5509212,3094120,1403781,70580806,15533591,219170,3.240,6763893,3298285,99.20
11:32:51.549393134,0.25,122712,3467602,1018574,476966,29135627,7565204,97493,3.172,3074026,1565155,99.18
11:32:53.411695818,0.25,85409,2095009,1022106,493570,28772420,6802791,87783,3.142,2794219,1514957,99.64
11:32:55.292375310,0.25,82634,2004727,1093756,540925,34149739,8209624,98622,2.860,3448018,1777590,99.53
11:32:57.154972843,0.25,79614,2149394,1021063,495496,33212409,8104547,103324,3.053,3384108,1814283,99.68
11:32:59.039824125,0.25,309375,12501539,9775915,2551314,32774377,7620229,99189,3.179,3119693,1698904,99.64
11:33:00.902145109,0.25,3342524,59757696,64135069,25442312,756680193,108330775,2291426,4.710,48646995,21833643,99.66
11:33:02.864053122,0.25,225683,4172425,969541,448924,37729579,9063009,110063,2.912,3779335,1986052,99.56
11:33:04.744513234,0.25,238690,4629314,1197964,492164,36308422,8478668,112570,3.188,3530856,1893993,99.54
11:33:06.633921491,0.25,76299,1953256,1905291,955877,29680401,7044541,89113,3.094,2879752,1558042,99.49
11:33:08.519665730,0.25,72162,1836703,2473696,1082859,27911803,6577162,78597,2.931,2681830,1463560,99.66
11:33:10.410670136,0.25,78205,1979347,1041906,507787,27843708,6451008,80208,3.026,2650859,1448867,99.56
11:33:12.280887106,0.25,78537,1975807,1056057,492823,62435121,12894607,260100,4.080,6375025,2630264,99.64
11:33:14.147615985,0.25,69945,1839761,945412,448886,273783980,48047013,540931,2.717,19912129,9228061,99.47
11:33:16.000901009,0.25,80405,1991558,888285,429781,33011961,7422691,93359,3.081,3029669,1640228,99.69
11:33:17.884390172,0.25,81495,1960193,934571,438695,33403106,7976817,101933,3.101,3287350,1759439,99.59
11:33:19.764348742,0.25,80937,2112189,1243840,546577,33203386,7671371,100115,3.164,3163784,1710372,99.61
11:33:21.819081835,0.25,1570245,26099131,2459701,1112430,35830615,7913158,105437,3.209,3285447,1770664,99.63
11:33:23.693956501,0.25,69804,1768741,960379,455761,31583614,7209274,90087,3.065,2939120,1597186,99.56
11:33:25.565747634,0.25,235966,10471068,989152,478093,28606714,6692132,81135,2.971,2730547,1522484,99.74
