timestamp1,Hora,timestamp2,Hpaso21,Hpaso22
2019-01-20 02:08:27.386562,2019-01-20 02:08:42.772,2019-01-20 02:08:42.656086,2019-01-20 02:08:27.726,2019-01-20 02:08:42.762
2019-01-20 02:08:27.376962,2019-01-20 02:08:43.983,2019-01-20 02:08:42.653301,2019-01-20 02:08:27.924,2019-01-20 02:08:43.982
2019-01-20 02:08:27.377826,2019-01-20 02:08:44.51,2019-01-20 02:08:42.653793,2019-01-20 02:08:28.629,2019-01-20 02:08:44.50
2019-01-20 02:08:27.380181,2019-01-20 02:08:44.110,2019-01-20 02:08:42.655348,2019-01-20 02:08:28.22,2019-01-20 02:08:44.109
2019-01-20 02:08:27.387877,2019-01-20 02:08:44.171,2019-01-20 02:08:42.656805,2019-01-20 02:08:28.543,2019-01-20 02:08:44.170
2019-01-20 02:08:27.376218,2019-01-20 02:08:44.229,2019-01-20 02:08:42.652828,2019-01-20 02:08:27.928,2019-01-20 02:08:44.228
2019-01-20 02:08:27.375815,2019-01-20 02:08:44.290,2019-01-20 02:08:42.652586,2019-01-20 02:08:27.728,2019-01-20 02:08:44.289
2019-01-20 02:08:27.376616,2019-01-20 02:08:44.356,2019-01-20 02:08:42.653068,2019-01-20 02:08:28.37,2019-01-20 02:08:44.355
2019-01-20 02:08:27.413160,2019-01-20 02:08:44.427,2019-01-20 02:08:42.718297,2019-01-20 02:08:28.326,2019-01-20 02:08:44.426
2019-01-20 02:08:27.386117,2019-01-20 02:08:44.485,2019-01-20 02:08:42.655841,2019-01-20 02:08:28.929,2019-01-20 02:08:44.484
2019-01-20 02:08:27.378230,2019-01-20 02:08:44.566,2019-01-20 02:08:42.654033,2019-01-20 02:08:27.826,2019-01-20 02:08:44.565
2019-01-20 02:08:27.379464,2019-01-20 02:08:44.655,2019-01-20 02:08:42.654850,2019-01-20 02:08:28.836,2019-01-20 02:08:44.654
2019-01-20 02:08:27.378638,2019-01-20 02:08:44.742,2019-01-20 02:08:42.654281,2019-01-20 02:08:27.724,2019-01-20 02:08:44.741
2019-01-20 02:08:27.387042,2019-01-20 02:08:44.828,2019-01-20 02:08:42.656324,2019-01-20 02:08:28.125,2019-01-20 02:08:44.826
2019-01-20 02:08:27.394738,2019-01-20 02:08:44.911,2019-01-20 02:08:42.689772,2019-01-20 02:08:28.328,2019-01-20 02:08:44.909
2019-01-20 02:08:27.397562,2019-01-20 02:08:44.976,2019-01-20 02:08:42.691776,2019-01-20 02:08:27.927,2019-01-20 02:08:44.974
2019-01-20 02:08:27.379085,2019-01-20 02:08:45.53,2019-01-20 02:08:42.654569,2019-01-20 02:08:28.720,2019-01-20 02:08:45.52
2019-01-20 02:08:27.414903,2019-01-20 02:08:45.116,2019-01-20 02:08:42.719593,2019-01-20 02:08:28.646,2019-01-20 02:08:45.115
2019-01-20 02:08:27.416677,2019-01-20 02:08:45.181,2019-01-20 02:08:42.720906,2019-01-20 02:08:27.822,2019-01-20 02:08:45.180
2019-01-20 02:08:27.389210,2019-01-20 02:08:45.241,2019-01-20 02:08:42.687670,2019-01-20 02:08:27.621,2019-01-20 02:08:45.240
2019-01-20 02:08:27.375421,2019-01-20 02:08:45.300,2019-01-20 02:08:42.652380,2019-01-20 02:08:27.824,2019-01-20 02:08:45.299
2019-01-20 02:08:27.396071,2019-01-20 02:08:45.360,2019-01-20 02:08:42.690595,2019-01-20 02:08:27.729,2019-01-20 02:08:45.358
2019-01-20 02:08:27.416982,2019-01-20 02:08:45.603,2019-01-20 02:08:42.721257,2019-01-20 02:08:27.727,2019-01-20 02:08:45.602
2019-01-20 02:08:27.377397,2019-01-20 02:08:45.947,2019-01-20 02:08:42.653550,2019-01-20 02:08:28.331,2019-01-20 02:08:45.945
2019-01-20 02:08:27.388268,2019-01-20 02:08:46.09,2019-01-20 02:08:42.657045,2019-01-20 02:08:28.229,2019-01-20 02:08:46.08
2019-01-20 02:08:27.393942,2019-01-20 02:08:46.72,2019-01-20 02:08:42.689230,2019-01-20 02:08:28.434,2019-01-20 02:08:46.71
2019-01-20 02:08:27.385594,2019-01-20 02:08:46.131,2019-01-20 02:08:42.655594,2019-01-20 02:08:28.342,2019-01-20 02:08:46.130
2019-01-20 02:08:27.387457,2019-01-20 02:08:46.187,2019-01-20 02:08:42.656570,2019-01-20 02:08:28.551,2019-01-20 02:08:46.186
2019-01-20 02:08:27.388696,2019-01-20 02:08:46.249,2019-01-20 02:08:42.657281,2019-01-20 02:08:28.539,2019-01-20 02:08:46.248
2019-01-20 02:08:27.413496,2019-01-20 02:08:46.318,2019-01-20 02:08:42.718553,2019-01-20 02:08:28.127,2019-01-20 02:08:46.317
2019-01-20 02:08:27.389642,2019-01-20 02:08:46.380,2019-01-20 02:08:42.687995,2019-01-20 02:08:28.638,2019-01-20 02:08:46.379
2019-01-20 02:08:27.393634,2019-01-20 02:08:46.437,2019-01-20 02:08:42.688976,2019-01-20 02:08:28.647,2019-01-20 02:08:46.436
2019-01-20 02:08:27.392900,2019-01-20 02:08:46.494,2019-01-20 02:08:42.688500,2019-01-20 02:08:27.922,2019-01-20 02:08:46.493
2019-01-20 02:08:27.397873,2019-01-20 02:08:46.556,2019-01-20 02:08:42.692102,2019-01-20 02:08:28.122,2019-01-20 02:08:46.554
2019-01-20 02:08:27.379800,2019-01-20 02:08:46.620,2019-01-20 02:08:42.655096,2019-01-20 02:08:28.222,2019-01-20 02:08:46.619
2019-01-20 02:08:27.415783,2019-01-20 02:08:46.677,2019-01-20 02:08:42.720093,2019-01-20 02:08:28.549,2019-01-20 02:08:46.676
