timestamp1,Hora,timestamp2,Hpaso21,Hpaso22
2019-01-21 11:17:46.557392,2019-01-21 11:18:06.899,2019-01-21 11:18:06.724139,2019-01-21 11:17:47.46,2019-01-21 11:18:06.873
2019-01-21 11:17:46.553651,2019-01-21 11:18:08.286,2019-01-21 11:18:06.719564,2019-01-21 11:17:46.936,2019-01-21 11:18:08.285
2019-01-21 11:17:46.554158,2019-01-21 11:18:08.436,2019-01-21 11:18:06.720099,2019-01-21 11:17:46.935,2019-01-21 11:18:08.435
2019-01-21 11:17:46.552720,2019-01-21 11:18:08.585,2019-01-21 11:18:06.718653,2019-01-21 11:17:47.34,2019-01-21 11:18:08.584
2019-01-21 11:17:46.563900,2019-01-21 11:18:08.728,2019-01-21 11:18:06.731942,2019-01-21 11:17:47.329,2019-01-21 11:18:08.727
2019-01-21 11:17:46.562864,2019-01-21 11:18:08.863,2019-01-21 11:18:06.730908,2019-01-21 11:17:47.232,2019-01-21 11:18:08.862
2019-01-21 11:17:46.555895,2019-01-21 11:18:08.995,2019-01-21 11:18:06.722257,2019-01-21 11:17:46.766,2019-01-21 11:18:08.994
2019-01-21 11:17:46.553407,2019-01-21 11:18:09.134,2019-01-21 11:18:06.719302,2019-01-21 11:17:46.830,2019-01-21 11:18:09.132
2019-01-21 11:17:46.557151,2019-01-21 11:18:09.535,2019-01-21 11:18:06.723783,2019-01-21 11:17:47.145,2019-01-21 11:18:09.531
2019-01-21 11:17:46.562126,2019-01-21 11:18:10.42,2019-01-21 11:18:06.730176,2019-01-21 11:17:47.549,2019-01-21 11:18:10.41
2019-01-21 11:17:46.561633,2019-01-21 11:18:10.179,2019-01-21 11:18:06.729692,2019-01-21 11:17:47.530,2019-01-21 11:18:10.177
2019-01-21 11:17:46.554905,2019-01-21 11:18:10.306,2019-01-21 11:18:06.720937,2019-01-21 11:17:47.241,2019-01-21 11:18:10.305
