timestamp1,Hora,timestamp2,Hpaso21,Hpaso22
2019-01-21 10:53:26.777446,2019-01-21 10:53:46.872,2019-01-21 10:53:46.801437,2019-01-21 10:53:27.25,2019-01-21 10:53:46.858
2019-01-21 10:53:26.775973,2019-01-21 10:53:48.273,2019-01-21 10:53:46.800222,2019-01-21 10:53:27.212,2019-01-21 10:53:48.272
2019-01-21 10:53:26.775424,2019-01-21 10:53:48.407,2019-01-21 10:53:46.799747,2019-01-21 10:53:27.106,2019-01-21 10:53:48.406
2019-01-21 10:53:26.774112,2019-01-21 10:53:48.546,2019-01-21 10:53:46.798557,2019-01-21 10:53:27.23,2019-01-21 10:53:48.545
2019-01-21 10:53:26.779144,2019-01-21 10:53:48.679,2019-01-21 10:53:46.802898,2019-01-21 10:53:27.14,2019-01-21 10:53:48.678
2019-01-21 10:53:26.776555,2019-01-21 10:53:48.813,2019-01-21 10:53:46.800706,2019-01-21 10:53:27.206,2019-01-21 10:53:48.812
2019-01-21 10:53:26.790049,2019-01-21 10:53:48.950,2019-01-21 10:53:46.810480,2019-01-21 10:53:27.05,2019-01-21 10:53:48.947
2019-01-21 10:53:26.789267,2019-01-21 10:53:49.89,2019-01-21 10:53:46.809733,2019-01-21 10:53:27.214,2019-01-21 10:53:49.87
2019-01-21 10:53:26.774612,2019-01-21 10:53:49.231,2019-01-21 10:53:46.799031,2019-01-21 10:53:27.123,2019-01-21 10:53:49.230
2019-01-21 10:53:26.791344,2019-01-21 10:53:49.531,2019-01-21 10:53:46.820702,2019-01-21 10:53:27.125,2019-01-21 10:53:49.530
2019-01-21 10:53:26.792381,2019-01-21 10:53:49.966,2019-01-21 10:53:46.821712,2019-01-21 10:53:27.231,2019-01-21 10:53:49.964
2019-01-21 10:53:26.775702,2019-01-21 10:53:50.105,2019-01-21 10:53:46.799985,2019-01-21 10:53:27.126,2019-01-21 10:53:50.104
2019-01-21 10:53:26.774874,2019-01-21 10:53:50.237,2019-01-21 10:53:46.799270,2019-01-21 10:53:27.114,2019-01-21 10:53:50.236
2019-01-21 10:53:26.787877,2019-01-21 10:53:50.372,2019-01-21 10:53:46.808696,2019-01-21 10:53:27.207,2019-01-21 10:53:50.371
