timestamp1,Hora,timestamp2,Hpaso21,Hpaso22
2019-01-20 02:21:21.315304,2019-01-20 02:21:36.626,2019-01-20 02:21:36.475842,2019-01-20 02:21:22.397,2019-01-20 02:21:36.618
2019-01-20 02:21:21.317500,2019-01-20 02:21:38.40,2019-01-20 02:21:36.483120,2019-01-20 02:21:21.796,2019-01-20 02:21:38.39
2019-01-20 02:21:21.316751,2019-01-20 02:21:38.113,2019-01-20 02:21:36.478875,2019-01-20 02:21:21.597,2019-01-20 02:21:38.112
2019-01-20 02:21:21.315549,2019-01-20 02:21:38.631,2019-01-20 02:21:36.476305,2019-01-20 02:21:22.93,2019-01-20 02:21:38.630
2019-01-20 02:21:21.315789,2019-01-20 02:21:38.694,2019-01-20 02:21:36.476818,2019-01-20 02:21:21.526,2019-01-20 02:21:38.691
2019-01-20 02:21:21.315090,2019-01-20 02:21:38.766,2019-01-20 02:21:36.475421,2019-01-20 02:21:21.700,2019-01-20 02:21:38.764
2019-01-20 02:21:21.327348,2019-01-20 02:21:38.835,2019-01-20 02:21:36.544738,2019-01-20 02:21:22.198,2019-01-20 02:21:38.833
2019-01-20 02:21:21.317264,2019-01-20 02:21:38.901,2019-01-20 02:21:36.479898,2019-01-20 02:21:21.997,2019-01-20 02:21:38.899
2019-01-20 02:21:21.367279,2019-01-20 02:21:38.962,2019-01-20 02:21:36.616557,2019-01-20 02:21:21.808,2019-01-20 02:21:38.961
2019-01-20 02:21:21.318992,2019-01-20 02:21:39.20,2019-01-20 02:21:36.486532,2019-01-20 02:21:21.527,2019-01-20 02:21:39.19
2019-01-20 02:21:21.317015,2019-01-20 02:21:39.80,2019-01-20 02:21:36.479380,2019-01-20 02:21:21.492,2019-01-20 02:21:39.79
2019-01-20 02:21:21.317989,2019-01-20 02:21:39.140,2019-01-20 02:21:36.484422,2019-01-20 02:21:22.310,2019-01-20 02:21:39.139
2019-01-20 02:21:21.318740,2019-01-20 02:21:39.197,2019-01-20 02:21:36.486031,2019-01-20 02:21:21.524,2019-01-20 02:21:39.195
2019-01-20 02:21:21.318245,2019-01-20 02:21:39.260,2019-01-20 02:21:36.485023,2019-01-20 02:21:22.295,2019-01-20 02:21:39.259
2019-01-20 02:21:21.319491,2019-01-20 02:21:39.324,2019-01-20 02:21:36.487789,2019-01-20 02:21:21.995,2019-01-20 02:21:39.323
2019-01-20 02:21:21.314671,2019-01-20 02:21:39.383,2019-01-20 02:21:36.474740,2019-01-20 02:21:21.707,2019-01-20 02:21:39.382
2019-01-20 02:21:21.369678,2019-01-20 02:21:39.447,2019-01-20 02:21:36.647564,2019-01-20 02:21:22.19,2019-01-20 02:21:39.446
2019-01-20 02:21:21.340791,2019-01-20 02:21:39.508,2019-01-20 02:21:36.601006,2019-01-20 02:21:21.592,2019-01-20 02:21:39.506
2019-01-20 02:21:21.317744,2019-01-20 02:21:39.566,2019-01-20 02:21:36.483888,2019-01-20 02:21:21.893,2019-01-20 02:21:39.565
2019-01-20 02:21:21.325582,2019-01-20 02:21:39.627,2019-01-20 02:21:36.512718,2019-01-20 02:21:22.95,2019-01-20 02:21:39.626
2019-01-20 02:21:21.342655,2019-01-20 02:21:39.691,2019-01-20 02:21:36.602627,2019-01-20 02:21:22.18,2019-01-20 02:21:39.689
2019-01-20 02:21:21.339947,2019-01-20 02:21:39.748,2019-01-20 02:21:36.600134,2019-01-20 02:21:22.306,2019-01-20 02:21:39.747
2019-01-20 02:21:21.342020,2019-01-20 02:21:39.809,2019-01-20 02:21:36.602111,2019-01-20 02:21:22.208,2019-01-20 02:21:39.807
2019-01-20 02:21:21.319736,2019-01-20 02:21:39.870,2019-01-20 02:21:36.509304,2019-01-20 02:21:22.194,2019-01-20 02:21:39.869
2019-01-20 02:21:21.325071,2019-01-20 02:21:39.926,2019-01-20 02:21:36.511587,2019-01-20 02:21:21.693,2019-01-20 02:21:39.926
2019-01-20 02:21:21.339147,2019-01-20 02:21:39.989,2019-01-20 02:21:36.561283,2019-01-20 02:21:21.897,2019-01-20 02:21:39.988
2019-01-20 02:21:21.326568,2019-01-20 02:21:40.51,2019-01-20 02:21:36.543021,2019-01-20 02:21:22.108,2019-01-20 02:21:40.50
2019-01-20 02:21:21.365561,2019-01-20 02:21:40.110,2019-01-20 02:21:36.603838,2019-01-20 02:21:22.01,2019-01-20 02:21:40.108
2019-01-20 02:21:21.338289,2019-01-20 02:21:40.176,2019-01-20 02:21:36.558607,2019-01-20 02:21:22.299,2019-01-20 02:21:40.175
2019-01-20 02:21:21.339645,2019-01-20 02:21:40.237,2019-01-20 02:21:36.599747,2019-01-20 02:21:21.695,2019-01-20 02:21:40.236
2019-01-20 02:21:21.338644,2019-01-20 02:21:40.298,2019-01-20 02:21:36.559215,2019-01-20 02:21:22.23,2019-01-20 02:21:40.297
2019-01-20 02:21:21.342912,2019-01-20 02:21:40.363,2019-01-20 02:21:36.603003,2019-01-20 02:21:22.11,2019-01-20 02:21:40.362
2019-01-20 02:21:21.327843,2019-01-20 02:21:40.437,2019-01-20 02:21:36.545741,2019-01-20 02:21:21.805,2019-01-20 02:21:40.435
2019-01-20 02:21:21.327601,2019-01-20 02:21:40.586,2019-01-20 02:21:36.545261,2019-01-20 02:21:21.798,2019-01-20 02:21:40.584
2019-01-20 02:21:21.328457,2019-01-20 02:21:40.645,2019-01-20 02:21:36.546781,2019-01-20 02:21:21.702,2019-01-20 02:21:40.644
2019-01-20 02:21:21.319239,2019-01-20 02:21:40.705,2019-01-20 02:21:36.487171,2019-01-20 02:21:21.993,2019-01-20 02:21:40.704
