timestamp1,Hora,timestamp2,Hpaso21,Hpaso22
2019-01-21 11:45:14.269102,2019-01-21 11:45:34.572,2019-01-21 11:45:34.522775,2019-01-21 11:45:14.631,2019-01-21 11:45:34.552
2019-01-21 11:45:14.270743,2019-01-21 11:45:35.976,2019-01-21 11:45:34.528235,2019-01-21 11:45:14.730,2019-01-21 11:45:35.975
2019-01-21 11:45:14.268154,2019-01-21 11:45:36.131,2019-01-21 11:45:34.521687,2019-01-21 11:45:14.929,2019-01-21 11:45:36.130
2019-01-21 11:45:14.266432,2019-01-21 11:45:36.285,2019-01-21 11:45:34.519695,2019-01-21 11:45:14.527,2019-01-21 11:45:36.284
2019-01-21 11:45:14.268648,2019-01-21 11:45:36.426,2019-01-21 11:45:34.522228,2019-01-21 11:45:14.518,2019-01-21 11:45:36.424
2019-01-21 11:45:14.267422,2019-01-21 11:45:36.573,2019-01-21 11:45:34.520751,2019-01-21 11:45:14.623,2019-01-21 11:45:36.572
2019-01-21 11:45:14.266679,2019-01-21 11:45:36.709,2019-01-21 11:45:34.519970,2019-01-21 11:45:15.48,2019-01-21 11:45:36.708
2019-01-21 11:45:14.268800,2019-01-21 11:45:36.844,2019-01-21 11:45:34.522416,2019-01-21 11:45:14.841,2019-01-21 11:45:36.843
2019-01-21 11:45:14.268001,2019-01-21 11:45:36.977,2019-01-21 11:45:34.521480,2019-01-21 11:45:14.741,2019-01-21 11:45:36.974
2019-01-21 11:45:14.315224,2019-01-21 11:45:37.107,2019-01-21 11:45:34.608177,2019-01-21 11:45:14.845,2019-01-21 11:45:37.106
2019-01-21 11:45:14.276468,2019-01-21 11:45:37.240,2019-01-21 11:45:34.531173,2019-01-21 11:45:14.824,2019-01-21 11:45:37.238
2019-01-21 11:45:14.305044,2019-01-21 11:45:37.379,2019-01-21 11:45:34.606838,2019-01-21 11:45:15.24,2019-01-21 11:45:37.378
2019-01-21 11:45:14.269408,2019-01-21 11:45:37.511,2019-01-21 11:45:34.523106,2019-01-21 11:45:14.627,2019-01-21 11:45:37.510
2019-01-21 11:45:14.265914,2019-01-21 11:45:37.651,2019-01-21 11:45:34.519132,2019-01-21 11:45:14.653,2019-01-21 11:45:37.650
2019-01-21 11:45:14.271490,2019-01-21 11:45:37.794,2019-01-21 11:45:34.530577,2019-01-21 11:45:14.522,2019-01-21 11:45:37.793
2019-01-21 11:45:14.266556,2019-01-21 11:45:37.926,2019-01-21 11:45:34.519838,2019-01-21 11:45:14.637,2019-01-21 11:45:37.925
2019-01-21 11:45:14.266804,2019-01-21 11:45:38.59,2019-01-21 11:45:34.520099,2019-01-21 11:45:14.725,2019-01-21 11:45:38.58
2019-01-21 11:45:14.276758,2019-01-21 11:45:38.196,2019-01-21 11:45:34.531371,2019-01-21 11:45:14.747,2019-01-21 11:45:38.193
2019-01-21 11:45:14.270596,2019-01-21 11:45:38.338,2019-01-21 11:45:34.524523,2019-01-21 11:45:14.641,2019-01-21 11:45:38.337
2019-01-21 11:45:14.269262,2019-01-21 11:45:38.469,2019-01-21 11:45:34.522943,2019-01-21 11:45:14.852,2019-01-21 11:45:38.468
2019-01-21 11:45:14.267277,2019-01-21 11:45:38.878,2019-01-21 11:45:34.520586,2019-01-21 11:45:14.833,2019-01-21 11:45:38.877
2019-01-21 11:45:14.498231,2019-01-21 11:45:39.14,2019-01-21 11:45:34.649851,2019-01-21 11:45:15.34,2019-01-21 11:45:39.12
2019-01-21 11:45:14.327555,2019-01-21 11:45:39.144,2019-01-21 11:45:34.627444,2019-01-21 11:45:14.831,2019-01-21 11:45:39.143
2019-01-21 11:45:14.318388,2019-01-21 11:45:39.275,2019-01-21 11:45:34.625482,2019-01-21 11:45:14.724,2019-01-21 11:45:39.274
2019-01-21 11:45:14.497977,2019-01-21 11:45:39.400,2019-01-21 11:45:34.649429,2019-01-21 11:45:15.48,2019-01-21 11:45:39.399
2019-01-21 11:45:14.339365,2019-01-21 11:45:39.543,2019-01-21 11:45:34.638858,2019-01-21 11:45:14.733,2019-01-21 11:45:39.542
2019-01-21 11:45:14.318108,2019-01-21 11:45:39.670,2019-01-21 11:45:34.625306,2019-01-21 11:45:15.123,2019-01-21 11:45:39.669
2019-01-21 11:45:14.268953,2019-01-21 11:45:39.797,2019-01-21 11:45:34.522595,2019-01-21 11:45:14.829,2019-01-21 11:45:39.795
2019-01-21 11:45:14.267567,2019-01-21 11:45:39.925,2019-01-21 11:45:34.520922,2019-01-21 11:45:14.619,2019-01-21 11:45:39.924
2019-01-21 11:45:14.337101,2019-01-21 11:45:40.62,2019-01-21 11:45:34.637437,2019-01-21 11:45:14.630,2019-01-21 11:45:40.61
2019-01-21 11:45:14.271185,2019-01-21 11:45:40.191,2019-01-21 11:45:34.529246,2019-01-21 11:45:14.744,2019-01-21 11:45:40.190
2019-01-21 11:45:14.497774,2019-01-21 11:45:40.313,2019-01-21 11:45:34.648945,2019-01-21 11:45:15.43,2019-01-21 11:45:40.311
2019-01-21 11:45:14.277349,2019-01-21 11:45:40.442,2019-01-21 11:45:34.531765,2019-01-21 11:45:14.652,2019-01-21 11:45:40.441
2019-01-21 11:45:14.270886,2019-01-21 11:45:40.567,2019-01-21 11:45:34.528607,2019-01-21 11:45:14.628,2019-01-21 11:45:40.566
2019-01-21 11:45:14.278974,2019-01-21 11:45:40.695,2019-01-21 11:45:34.583643,2019-01-21 11:45:14.921,2019-01-21 11:45:40.693
2019-01-21 11:45:14.303284,2019-01-21 11:45:40.823,2019-01-21 11:45:34.605393,2019-01-21 11:45:14.931,2019-01-21 11:45:40.822
2019-01-21 11:45:14.270301,2019-01-21 11:45:40.947,2019-01-21 11:45:34.524150,2019-01-21 11:45:14.739,2019-01-21 11:45:40.946
2019-01-21 11:45:14.271035,2019-01-21 11:45:41.75,2019-01-21 11:45:34.528842,2019-01-21 11:45:14.945,2019-01-21 11:45:41.73
2019-01-21 11:45:14.300994,2019-01-21 11:45:41.210,2019-01-21 11:45:34.585379,2019-01-21 11:45:14.745,2019-01-21 11:45:41.209
2019-01-21 11:45:14.267711,2019-01-21 11:45:41.342,2019-01-21 11:45:34.521110,2019-01-21 11:45:14.729,2019-01-21 11:45:41.341
