timestamp1,Hora,timestamp2,Hpaso21,Hpaso22
2019-01-19 22:17:06.230604,2019-01-19 22:17:11.294,2019-01-19 22:17:11.236805,2019-01-19 22:17:06.439,2019-01-19 22:17:11.278
2019-01-19 22:17:06.225086,2019-01-19 22:17:13.206,2019-01-19 22:17:11.235765,2019-01-19 22:17:06.416,2019-01-19 22:17:13.204
2019-01-19 22:17:06.225674,2019-01-19 22:17:13.343,2019-01-19 22:17:11.236027,2019-01-19 22:17:06.432,2019-01-19 22:17:13.338
2019-01-19 22:17:21.255922,2019-01-19 22:17:26.420,2019-01-19 22:17:26.274563,2019-01-19 22:17:21.417,2019-01-19 22:17:26.416
2019-01-19 22:17:21.256742,2019-01-19 22:17:26.562,2019-01-19 22:17:26.275393,2019-01-19 22:17:21.409,2019-01-19 22:17:26.559
2019-01-19 22:17:21.254459,2019-01-19 22:17:27.45,2019-01-19 22:17:26.272890,2019-01-19 22:17:21.413,2019-01-19 22:17:27.43
2019-01-19 22:17:21.263536,2019-01-19 22:17:27.176,2019-01-19 22:17:26.282023,2019-01-19 22:17:21.408,2019-01-19 22:17:27.174
2019-01-19 22:17:21.266154,2019-01-19 22:17:27.307,2019-01-19 22:17:26.285079,2019-01-19 22:17:21.406,2019-01-19 22:17:27.305
2019-01-19 22:17:21.265266,2019-01-19 22:17:27.438,2019-01-19 22:17:26.283875,2019-01-19 22:17:21.410,2019-01-19 22:17:27.434
2019-01-19 22:17:21.257693,2019-01-19 22:17:27.572,2019-01-19 22:17:26.276209,2019-01-19 22:17:21.423,2019-01-19 22:17:27.569
2019-01-19 22:17:21.255068,2019-01-19 22:17:27.701,2019-01-19 22:17:26.273492,2019-01-19 22:17:21.402,2019-01-19 22:17:27.700
2019-01-19 22:17:21.264437,2019-01-19 22:17:27.830,2019-01-19 22:17:26.282777,2019-01-19 22:17:21.404,2019-01-19 22:17:27.828
2019-01-19 22:17:21.266395,2019-01-19 22:17:27.963,2019-01-19 22:17:26.285381,2019-01-19 22:17:21.407,2019-01-19 22:17:27.961
2019-01-19 22:17:21.265734,2019-01-19 22:17:28.99,2019-01-19 22:17:26.284471,2019-01-19 22:17:21.418,2019-01-19 22:17:28.93
2019-01-19 22:17:21.265940,2019-01-19 22:17:28.235,2019-01-19 22:17:26.284751,2019-01-19 22:17:21.414,2019-01-19 22:17:28.232
2019-01-19 22:17:21.264862,2019-01-19 22:17:28.364,2019-01-19 22:17:26.283278,2019-01-19 22:17:21.403,2019-01-19 22:17:28.362
2019-01-19 22:17:36.314843,2019-01-19 22:17:41.453,2019-01-19 22:17:41.325911,2019-01-19 22:17:36.457,2019-01-19 22:17:41.452
2019-01-19 22:17:36.313017,2019-01-19 22:17:41.587,2019-01-19 22:17:41.325627,2019-01-19 22:17:36.459,2019-01-19 22:17:41.586
2019-01-19 22:17:36.309871,2019-01-19 22:17:42.44,2019-01-19 22:17:41.321313,2019-01-19 22:17:36.454,2019-01-19 22:17:42.41
2019-01-19 22:17:36.316807,2019-01-19 22:17:42.176,2019-01-19 22:17:41.327905,2019-01-19 22:17:36.453,2019-01-19 22:17:42.175
2019-01-19 22:17:36.308110,2019-01-19 22:17:42.323,2019-01-19 22:17:41.319024,2019-01-19 22:17:36.447,2019-01-19 22:17:42.321
2019-01-19 22:17:36.308566,2019-01-19 22:17:42.477,2019-01-19 22:17:41.319635,2019-01-19 22:17:36.441,2019-01-19 22:17:42.472
2019-01-19 22:17:36.312405,2019-01-19 22:17:42.616,2019-01-19 22:17:41.325341,2019-01-19 22:17:36.460,2019-01-19 22:17:42.612
2019-01-19 22:17:36.315985,2019-01-19 22:17:42.746,2019-01-19 22:17:41.327052,2019-01-19 22:17:36.460,2019-01-19 22:17:42.745
2019-01-19 22:17:36.307498,2019-01-19 22:17:42.874,2019-01-19 22:17:41.318094,2019-01-19 22:17:36.449,2019-01-19 22:17:42.873
2019-01-19 22:17:36.311180,2019-01-19 22:17:43.00,2019-01-19 22:17:41.323024,2019-01-19 22:17:36.461,2019-01-19 22:17:42.999
2019-01-19 22:17:36.309201,2019-01-19 22:17:43.131,2019-01-19 22:17:41.320512,2019-01-19 22:17:36.451,2019-01-19 22:17:43.128
2019-01-19 22:17:36.315137,2019-01-19 22:17:43.264,2019-01-19 22:17:41.326181,2019-01-19 22:17:36.458,2019-01-19 22:17:43.261
2019-01-19 22:17:36.317382,2019-01-19 22:17:43.400,2019-01-19 22:17:41.328461,2019-01-19 22:17:36.457,2019-01-19 22:17:43.395
2019-01-19 22:17:51.358330,2019-01-19 22:17:56.492,2019-01-19 22:17:56.385214,2019-01-19 22:17:51.433,2019-01-19 22:17:56.489
2019-01-19 22:17:51.369634,2019-01-19 22:17:56.624,2019-01-19 22:17:56.389073,2019-01-19 22:17:51.443,2019-01-19 22:17:56.620
2019-01-19 22:17:51.371933,2019-01-19 22:17:56.760,2019-01-19 22:17:56.392487,2019-01-19 22:17:51.443,2019-01-19 22:17:56.758
2019-01-19 22:17:51.360667,2019-01-19 22:17:56.894,2019-01-19 22:17:56.387649,2019-01-19 22:17:51.433,2019-01-19 22:17:56.891
2019-01-19 22:17:51.371475,2019-01-19 22:17:57.26,2019-01-19 22:17:56.391922,2019-01-19 22:17:51.440,2019-01-19 22:17:57.22
2019-01-19 22:17:51.362351,2019-01-19 22:17:57.158,2019-01-19 22:17:56.388204,2019-01-19 22:17:51.436,2019-01-19 22:17:57.156
2019-01-19 22:17:51.372162,2019-01-19 22:17:57.286,2019-01-19 22:17:56.392767,2019-01-19 22:17:51.440,2019-01-19 22:17:57.285
2019-01-19 22:17:51.371004,2019-01-19 22:17:57.418,2019-01-19 22:17:56.389624,2019-01-19 22:17:51.441,2019-01-19 22:17:57.414
2019-01-19 22:17:51.368795,2019-01-19 22:17:57.547,2019-01-19 22:17:56.388805,2019-01-19 22:17:51.435,2019-01-19 22:17:57.545
2019-01-19 22:17:51.372803,2019-01-19 22:17:57.882,2019-01-19 22:17:56.393740,2019-01-19 22:17:51.435,2019-01-19 22:17:57.881
2019-01-19 22:17:51.371245,2019-01-19 22:17:58.17,2019-01-19 22:17:56.389858,2019-01-19 22:17:51.442,2019-01-19 22:17:58.13
2019-01-19 22:17:51.359831,2019-01-19 22:17:58.158,2019-01-19 22:17:56.386875,2019-01-19 22:17:51.431,2019-01-19 22:17:58.154
2019-01-19 22:17:51.371689,2019-01-19 22:17:58.303,2019-01-19 22:17:56.392238,2019-01-19 22:17:51.432,2019-01-19 22:17:58.302
2019-01-19 22:17:51.361484,2019-01-19 22:17:58.432,2019-01-19 22:17:56.387918,2019-01-19 22:17:51.475,2019-01-19 22:17:58.430
2019-01-19 22:18:06.410820,2019-01-19 22:18:11.529,2019-01-19 22:18:11.430142,2019-01-19 22:18:06.531,2019-01-19 22:18:11.527
2019-01-19 22:18:06.420605,2019-01-19 22:18:11.661,2019-01-19 22:18:11.436791,2019-01-19 22:18:06.526,2019-01-19 22:18:11.659
2019-01-19 22:18:06.409841,2019-01-19 22:18:11.799,2019-01-19 22:18:11.428853,2019-01-19 22:18:06.529,2019-01-19 22:18:11.796
2019-01-19 22:18:06.412531,2019-01-19 22:18:11.931,2019-01-19 22:18:11.431728,2019-01-19 22:18:06.524,2019-01-19 22:18:11.929
2019-01-19 22:18:06.411671,2019-01-19 22:18:12.60,2019-01-19 22:18:11.430984,2019-01-19 22:18:06.528,2019-01-19 22:18:12.58
2019-01-19 22:18:06.421702,2019-01-19 22:18:12.190,2019-01-19 22:18:11.438359,2019-01-19 22:18:06.524,2019-01-19 22:18:12.188
2019-01-19 22:18:06.421032,2019-01-19 22:18:12.321,2019-01-19 22:18:11.437171,2019-01-19 22:18:06.527,2019-01-19 22:18:12.320
