timestamp1,Hora,timestamp2,Hpaso21,Hpaso22
2019-01-21 08:41:33.474228,2019-01-21 08:41:53.698,2019-01-21 08:41:53.522209,2019-01-21 08:41:34.42,2019-01-21 08:41:53.685
2019-01-21 08:41:33.474840,2019-01-21 08:41:55.328,2019-01-21 08:41:53.523122,2019-01-21 08:41:34.24,2019-01-21 08:41:55.327
2019-01-21 08:41:33.473978,2019-01-21 08:41:55.364,2019-01-21 08:41:53.522104,2019-01-21 08:41:33.918,2019-01-21 08:41:55.362
2019-01-21 08:41:33.456521,2019-01-21 08:41:55.400,2019-01-21 08:41:53.518916,2019-01-21 08:41:33.917,2019-01-21 08:41:55.398
2019-01-21 08:41:33.475213,2019-01-21 08:41:55.437,2019-01-21 08:41:53.526135,2019-01-21 08:41:33.997,2019-01-21 08:41:55.436
2019-01-21 08:41:33.457570,2019-01-21 08:41:55.476,2019-01-21 08:41:53.519264,2019-01-21 08:41:33.931,2019-01-21 08:41:55.472
2019-01-21 08:41:33.485552,2019-01-21 08:41:55.514,2019-01-21 08:41:53.540091,2019-01-21 08:41:34.17,2019-01-21 08:41:55.511
2019-01-21 08:41:33.474746,2019-01-21 08:41:55.557,2019-01-21 08:41:53.522954,2019-01-21 08:41:33.978,2019-01-21 08:41:55.551
2019-01-21 08:41:33.469536,2019-01-21 08:41:55.593,2019-01-21 08:41:53.521732,2019-01-21 08:41:33.994,2019-01-21 08:41:55.590
2019-01-21 08:41:33.482002,2019-01-21 08:41:55.635,2019-01-21 08:41:53.536695,2019-01-21 08:41:33.951,2019-01-21 08:41:55.631
2019-01-21 08:41:33.483407,2019-01-21 08:41:55.680,2019-01-21 08:41:53.538118,2019-01-21 08:41:34.43,2019-01-21 08:41:55.678
2019-01-21 08:41:33.478061,2019-01-21 08:41:55.718,2019-01-21 08:41:53.531113,2019-01-21 08:41:33.966,2019-01-21 08:41:55.717
2019-01-21 08:41:33.477796,2019-01-21 08:41:55.753,2019-01-21 08:41:53.530832,2019-01-21 08:41:34.27,2019-01-21 08:41:55.752
2019-01-21 08:41:33.475797,2019-01-21 08:41:55.790,2019-01-21 08:41:53.527439,2019-01-21 08:41:33.972,2019-01-21 08:41:55.787
2019-01-21 08:41:33.482905,2019-01-21 08:41:55.828,2019-01-21 08:41:53.537658,2019-01-21 08:41:33.954,2019-01-21 08:41:55.826
2019-01-21 08:41:33.475398,2019-01-21 08:41:55.868,2019-01-21 08:41:53.526803,2019-01-21 08:41:34.36,2019-01-21 08:41:55.864
2019-01-21 08:41:33.459360,2019-01-21 08:41:55.910,2019-01-21 08:41:53.519804,2019-01-21 08:41:33.948,2019-01-21 08:41:55.907
2019-01-21 08:41:33.465726,2019-01-21 08:41:55.950,2019-01-21 08:41:53.520460,2019-01-21 08:41:33.916,2019-01-21 08:41:55.947
2019-01-21 08:41:33.483877,2019-01-21 08:41:55.989,2019-01-21 08:41:53.538690,2019-01-21 08:41:33.962,2019-01-21 08:41:55.987
2019-01-21 08:41:33.476556,2019-01-21 08:41:56.31,2019-01-21 08:41:53.528610,2019-01-21 08:41:34.26,2019-01-21 08:41:56.27
2019-01-21 08:41:33.455502,2019-01-21 08:41:56.69,2019-01-21 08:41:53.518546,2019-01-21 08:41:34.05,2019-01-21 08:41:56.68
2019-01-21 08:41:33.477595,2019-01-21 08:41:56.105,2019-01-21 08:41:53.530419,2019-01-21 08:41:33.990,2019-01-21 08:41:56.104
2019-01-21 08:41:33.473631,2019-01-21 08:41:56.142,2019-01-21 08:41:53.521838,2019-01-21 08:41:33.936,2019-01-21 08:41:56.139
2019-01-21 08:41:33.483634,2019-01-21 08:41:56.187,2019-01-21 08:41:53.538341,2019-01-21 08:41:34.16,2019-01-21 08:41:56.183
2019-01-21 08:41:33.478154,2019-01-21 08:41:56.229,2019-01-21 08:41:53.535681,2019-01-21 08:41:34.39,2019-01-21 08:41:56.226
2019-01-21 08:41:33.476648,2019-01-21 08:41:56.267,2019-01-21 08:41:53.528748,2019-01-21 08:41:33.934,2019-01-21 08:41:56.265
2019-01-21 08:41:33.482657,2019-01-21 08:41:56.307,2019-01-21 08:41:53.537446,2019-01-21 08:41:33.977,2019-01-21 08:41:56.304
2019-01-21 08:41:33.458670,2019-01-21 08:41:56.344,2019-01-21 08:41:53.519605,2019-01-21 08:41:34.00,2019-01-21 08:41:56.342
2019-01-21 08:41:33.467933,2019-01-21 08:41:56.389,2019-01-21 08:41:53.521226,2019-01-21 08:41:33.958,2019-01-21 08:41:56.382
2019-01-21 08:41:33.484320,2019-01-21 08:41:56.434,2019-01-21 08:41:53.539048,2019-01-21 08:41:33.968,2019-01-21 08:41:56.430
2019-01-21 08:41:33.467549,2019-01-21 08:41:56.473,2019-01-21 08:41:53.521113,2019-01-21 08:41:34.25,2019-01-21 08:41:56.471
2019-01-21 08:41:33.476738,2019-01-21 08:41:56.515,2019-01-21 08:41:53.528970,2019-01-21 08:41:33.921,2019-01-21 08:41:56.510
2019-01-21 08:41:33.484011,2019-01-21 08:41:56.552,2019-01-21 08:41:53.538816,2019-01-21 08:41:34.38,2019-01-21 08:41:56.551
2019-01-21 08:41:33.474519,2019-01-21 08:41:56.586,2019-01-21 08:41:53.522686,2019-01-21 08:41:34.46,2019-01-21 08:41:56.585
2019-01-21 08:41:33.477695,2019-01-21 08:41:56.620,2019-01-21 08:41:53.530665,2019-01-21 08:41:33.998,2019-01-21 08:41:56.619
2019-01-21 08:41:33.483532,2019-01-21 08:41:56.655,2019-01-21 08:41:53.538243,2019-01-21 08:41:33.987,2019-01-21 08:41:56.654
2019-01-21 08:41:33.465041,2019-01-21 08:41:56.694,2019-01-21 08:41:53.520220,2019-01-21 08:41:33.952,2019-01-21 08:41:56.691
2019-01-21 08:41:33.467217,2019-01-21 08:41:56.752,2019-01-21 08:41:53.520996,2019-01-21 08:41:34.08,2019-01-21 08:41:56.750
2019-01-21 08:41:33.484583,2019-01-21 08:41:56.791,2019-01-21 08:41:53.539256,2019-01-21 08:41:34.20,2019-01-21 08:41:56.789
2019-01-21 08:41:33.481895,2019-01-21 08:41:56.830,2019-01-21 08:41:53.536572,2019-01-21 08:41:33.919,2019-01-21 08:41:56.829
2019-01-21 08:41:33.478489,2019-01-21 08:41:56.866,2019-01-21 08:41:53.536139,2019-01-21 08:41:34.44,2019-01-21 08:41:56.864
2019-01-21 08:41:33.475118,2019-01-21 08:41:56.901,2019-01-21 08:41:53.523444,2019-01-21 08:41:33.941,2019-01-21 08:41:56.900
2019-01-21 08:41:33.475514,2019-01-21 08:41:56.937,2019-01-21 08:41:53.526938,2019-01-21 08:41:33.925,2019-01-21 08:41:56.936
2019-01-21 08:41:33.460113,2019-01-21 08:41:56.975,2019-01-21 08:41:53.520019,2019-01-21 08:41:34.14,2019-01-21 08:41:56.974
2019-01-21 08:41:33.484710,2019-01-21 08:41:57.17,2019-01-21 08:41:53.539431,2019-01-21 08:41:33.985,2019-01-21 08:41:57.15
2019-01-21 08:41:33.484189,2019-01-21 08:41:57.48,2019-01-21 08:41:53.538935,2019-01-21 08:41:33.956,2019-01-21 08:41:57.47
2019-01-21 08:41:33.484817,2019-01-21 08:41:57.81,2019-01-21 08:41:53.539532,2019-01-21 08:41:34.10,2019-01-21 08:41:57.80
2019-01-21 08:41:33.485277,2019-01-21 08:41:57.118,2019-01-21 08:41:53.539880,2019-01-21 08:41:33.991,2019-01-21 08:41:57.117
2019-01-21 08:41:33.458270,2019-01-21 08:41:57.154,2019-01-21 08:41:53.519507,2019-01-21 08:41:33.926,2019-01-21 08:41:57.153
2019-01-21 08:41:33.475987,2019-01-21 08:41:57.188,2019-01-21 08:41:53.527795,2019-01-21 08:41:33.993,2019-01-21 08:41:57.187
2019-01-21 08:41:33.473835,2019-01-21 08:41:57.223,2019-01-21 08:41:53.521979,2019-01-21 08:41:33.915,2019-01-21 08:41:57.221
2019-01-21 08:41:33.466454,2019-01-21 08:41:57.259,2019-01-21 08:41:53.520747,2019-01-21 08:41:33.912,2019-01-21 08:41:57.258
2019-01-21 08:41:33.475306,2019-01-21 08:41:57.297,2019-01-21 08:41:53.526453,2019-01-21 08:41:34.21,2019-01-21 08:41:57.296
2019-01-21 08:41:33.485861,2019-01-21 08:41:57.336,2019-01-21 08:41:53.540311,2019-01-21 08:41:33.955,2019-01-21 08:41:57.332
2019-01-21 08:41:33.464609,2019-01-21 08:41:57.374,2019-01-21 08:41:53.520120,2019-01-21 08:41:33.929,2019-01-21 08:41:57.371
2019-01-21 08:41:33.459015,2019-01-21 08:41:57.416,2019-01-21 08:41:53.519703,2019-01-21 08:41:33.938,2019-01-21 08:41:57.413
