timestamp1,Hora,timestamp2,Hpaso21,Hpaso22
2019-01-21 10:53:28.034649,2019-01-21 10:53:48.279,2019-01-21 10:53:48.087599,2019-01-21 10:53:28.241,2019-01-21 10:53:48.270
2019-01-21 10:53:28.042822,2019-01-21 10:53:50.106,2019-01-21 10:53:48.094572,2019-01-21 10:53:28.222,2019-01-21 10:53:50.101
2019-01-21 10:53:28.045220,2019-01-21 10:53:50.208,2019-01-21 10:53:48.102055,2019-01-21 10:53:28.223,2019-01-21 10:53:50.206
2019-01-21 10:53:28.042176,2019-01-21 10:53:50.307,2019-01-21 10:53:48.093848,2019-01-21 10:53:28.255,2019-01-21 10:53:50.305
2019-01-21 10:53:28.056103,2019-01-21 10:53:50.407,2019-01-21 10:53:48.104223,2019-01-21 10:53:28.247,2019-01-21 10:53:50.406
2019-01-21 10:53:28.056500,2019-01-21 10:53:50.506,2019-01-21 10:53:48.104606,2019-01-21 10:53:28.252,2019-01-21 10:53:50.504
2019-01-21 10:53:28.044549,2019-01-21 10:53:50.610,2019-01-21 10:53:48.096629,2019-01-21 10:53:28.224,2019-01-21 10:53:50.606
2019-01-21 10:53:28.044218,2019-01-21 10:53:50.714,2019-01-21 10:53:48.096306,2019-01-21 10:53:28.239,2019-01-21 10:53:50.710
2019-01-21 10:53:28.030271,2019-01-21 10:53:50.813,2019-01-21 10:53:48.086231,2019-01-21 10:53:28.219,2019-01-21 10:53:50.812
2019-01-21 10:53:28.036697,2019-01-21 10:53:50.918,2019-01-21 10:53:48.088704,2019-01-21 10:53:28.234,2019-01-21 10:53:50.913
2019-01-21 10:53:28.028783,2019-01-21 10:53:51.23,2019-01-21 10:53:48.085240,2019-01-21 10:53:28.236,2019-01-21 10:53:51.19
2019-01-21 10:53:28.055502,2019-01-21 10:53:51.131,2019-01-21 10:53:48.103511,2019-01-21 10:53:28.274,2019-01-21 10:53:51.124
2019-01-21 10:53:28.036011,2019-01-21 10:53:51.237,2019-01-21 10:53:48.088343,2019-01-21 10:53:28.233,2019-01-21 10:53:51.233
2019-01-21 10:53:28.044855,2019-01-21 10:53:51.345,2019-01-21 10:53:48.101726,2019-01-21 10:53:28.232,2019-01-21 10:53:51.340
2019-01-21 10:53:28.030758,2019-01-21 10:53:51.447,2019-01-21 10:53:48.086561,2019-01-21 10:53:28.217,2019-01-21 10:53:51.445
2019-01-21 10:53:28.034113,2019-01-21 10:53:51.547,2019-01-21 10:53:48.087201,2019-01-21 10:53:28.233,2019-01-21 10:53:51.545
2019-01-21 10:53:28.040652,2019-01-21 10:53:51.646,2019-01-21 10:53:48.092181,2019-01-21 10:53:28.227,2019-01-21 10:53:51.644
2019-01-21 10:53:28.041306,2019-01-21 10:53:51.746,2019-01-21 10:53:48.092890,2019-01-21 10:53:28.279,2019-01-21 10:53:51.743
