timestamp1,Hora,timestamp2,Hpaso21,Hpaso22
2019-01-21 11:17:47.793069,2019-01-21 11:18:08.165,2019-01-21 11:18:07.928720,2019-01-21 11:17:48.217,2019-01-21 11:18:08.155
2019-01-21 11:17:47.808547,2019-01-21 11:18:10.04,2019-01-21 11:18:07.937588,2019-01-21 11:17:48.219,2019-01-21 11:18:10.01
2019-01-21 11:17:47.779059,2019-01-21 11:18:10.130,2019-01-21 11:18:07.924694,2019-01-21 11:17:48.05,2019-01-21 11:18:10.128
2019-01-21 11:17:47.778429,2019-01-21 11:18:10.236,2019-01-21 11:18:07.924507,2019-01-21 11:17:48.105,2019-01-21 11:18:10.232
2019-01-21 11:17:47.789385,2019-01-21 11:18:10.344,2019-01-21 11:18:07.926087,2019-01-21 11:17:48.119,2019-01-21 11:18:10.339
2019-01-21 11:17:47.791409,2019-01-21 11:18:10.456,2019-01-21 11:18:07.927576,2019-01-21 11:17:48.344,2019-01-21 11:18:10.451
2019-01-21 11:17:47.791681,2019-01-21 11:18:10.558,2019-01-21 11:18:07.927744,2019-01-21 11:17:48.125,2019-01-21 11:18:10.556
2019-01-21 11:17:47.820530,2019-01-21 11:18:10.657,2019-01-21 11:18:07.957367,2019-01-21 11:17:48.426,2019-01-21 11:18:10.656
2019-01-21 11:17:47.818436,2019-01-21 11:18:10.759,2019-01-21 11:18:07.955031,2019-01-21 11:17:48.415,2019-01-21 11:18:10.754
2019-01-21 11:17:47.790070,2019-01-21 11:18:10.861,2019-01-21 11:18:07.926594,2019-01-21 11:17:48.234,2019-01-21 11:18:10.858
2019-01-21 11:17:47.790298,2019-01-21 11:18:10.963,2019-01-21 11:18:07.926760,2019-01-21 11:17:48.117,2019-01-21 11:18:10.960
2019-01-21 11:17:47.808177,2019-01-21 11:18:11.67,2019-01-21 11:18:07.937197,2019-01-21 11:17:48.207,2019-01-21 11:18:11.66
2019-01-21 11:17:47.792684,2019-01-21 11:18:11.165,2019-01-21 11:18:07.928501,2019-01-21 11:17:48.28,2019-01-21 11:18:11.164
2019-01-21 11:17:47.811872,2019-01-21 11:18:11.262,2019-01-21 11:18:07.940993,2019-01-21 11:17:48.325,2019-01-21 11:18:11.261
2019-01-21 11:17:47.811083,2019-01-21 11:18:11.362,2019-01-21 11:18:07.940159,2019-01-21 11:17:48.434,2019-01-21 11:18:11.361
2019-01-21 11:17:47.808366,2019-01-21 11:18:11.462,2019-01-21 11:18:07.937407,2019-01-21 11:17:48.236,2019-01-21 11:18:11.459
2019-01-21 11:17:47.810160,2019-01-21 11:18:11.565,2019-01-21 11:18:07.939153,2019-01-21 11:17:48.343,2019-01-21 11:18:11.563
2019-01-21 11:17:47.809910,2019-01-21 11:18:11.667,2019-01-21 11:18:07.938974,2019-01-21 11:17:48.232,2019-01-21 11:18:11.665
2019-01-21 11:17:47.810411,2019-01-21 11:18:11.784,2019-01-21 11:18:07.939388,2019-01-21 11:17:48.221,2019-01-21 11:18:11.782
2019-01-21 11:17:47.818073,2019-01-21 11:18:11.885,2019-01-21 11:18:07.954548,2019-01-21 11:17:48.411,2019-01-21 11:18:11.883
2019-01-21 11:17:47.818616,2019-01-21 11:18:11.986,2019-01-21 11:18:07.955229,2019-01-21 11:17:48.123,2019-01-21 11:18:11.985
2019-01-21 11:17:47.809669,2019-01-21 11:18:12.92,2019-01-21 11:18:07.938799,2019-01-21 11:17:48.336,2019-01-21 11:18:12.89
2019-01-21 11:17:47.811624,2019-01-21 11:18:12.195,2019-01-21 11:18:07.940722,2019-01-21 11:17:48.420,2019-01-21 11:18:12.192
2019-01-21 11:17:47.807799,2019-01-21 11:18:12.298,2019-01-21 11:18:07.936789,2019-01-21 11:17:48.320,2019-01-21 11:18:12.295
2019-01-21 11:17:47.780358,2019-01-21 11:18:12.397,2019-01-21 11:18:07.925060,2019-01-21 11:17:48.129,2019-01-21 11:18:12.396
2019-01-21 11:17:47.792447,2019-01-21 11:18:12.495,2019-01-21 11:18:07.928258,2019-01-21 11:17:48.427,2019-01-21 11:18:12.494
2019-01-21 11:17:47.812081,2019-01-21 11:18:12.593,2019-01-21 11:18:07.953684,2019-01-21 11:17:48.346,2019-01-21 11:18:12.592
2019-01-21 11:17:47.776049,2019-01-21 11:18:12.694,2019-01-21 11:18:07.923818,2019-01-21 11:17:48.110,2019-01-21 11:18:12.691
2019-01-21 11:17:47.788119,2019-01-21 11:18:12.796,2019-01-21 11:18:07.925234,2019-01-21 11:17:48.224,2019-01-21 11:18:12.793
2019-01-21 11:17:47.791038,2019-01-21 11:18:12.893,2019-01-21 11:18:07.927303,2019-01-21 11:17:48.213,2019-01-21 11:18:12.892
2019-01-21 11:17:47.811315,2019-01-21 11:18:12.991,2019-01-21 11:18:07.940447,2019-01-21 11:17:48.310,2019-01-21 11:18:12.990
2019-01-21 11:17:47.775296,2019-01-21 11:18:13.88,2019-01-21 11:18:07.923517,2019-01-21 11:17:48.112,2019-01-21 11:18:13.86
2019-01-21 11:17:47.819077,2019-01-21 11:18:13.184,2019-01-21 11:18:07.955835,2019-01-21 11:17:48.214,2019-01-21 11:18:13.183
